,stress_x,stress_y
0,0.0,753.71
1,0.5,704.19
2,1.0,655.11
3,1.5,606.91
4,2.0,559.99
5,2.5,514.73
6,3.0,471.45
7,3.5,430.44
8,4.0,391.92
9,4.5,356.05
10,5.0,322.96
11,5.5,292.67
12,6.0,265.21
13,6.5,240.5
14,7.0,218.46
15,7.5,198.97
16,8.0,181.85
17,8.5,166.94
18,9.0,154.05
19,9.5,142.97
20,10.0,133.51
21,10.5,125.47
22,11.0,118.68
23,11.5,112.95
24,12.0,108.13
25,12.5,104.07
26,13.0,100.65
27,13.5,97.75
28,14.0,95.28
29,14.5,93.15
30,15.0,91.3
31,15.5,89.66
32,16.0,88.2
33,16.5,86.87
34,17.0,85.63
35,17.5,84.48
36,18.0,83.38
37,18.5,82.33
38,19.0,81.31
39,19.5,80.31
40,20.0,79.33
41,20.5,78.37
42,21.0,77.41
43,21.5,76.46
44,22.0,75.52
45,22.5,74.58
46,23.0,73.65
47,23.5,72.72
48,24.0,71.79
49,24.5,70.86
50,25.0,69.94
51,25.5,69.02
52,26.0,68.1
53,26.5,67.18
54,27.0,66.26
55,27.5,65.35
56,28.0,64.44
57,28.5,63.53
58,29.0,62.62
59,29.5,61.71
60,30.0,60.81
61,30.5,59.91
62,31.0,59.01
63,31.5,58.11
64,32.0,57.22
65,32.5,56.33
66,33.0,55.44
67,33.5,54.55
68,34.0,53.67
69,34.5,52.79
70,35.0,51.91
71,35.5,51.03
72,36.0,50.16
73,36.5,49.28
74,37.0,48.42
75,37.5,47.55
76,38.0,46.69
77,38.5,45.82
78,39.0,44.97
79,39.5,44.11
80,40.0,43.26
81,40.5,42.41
82,41.0,41.56
83,41.5,40.72
84,42.0,39.87
85,42.5,39.04
86,43.0,38.2
87,43.5,37.37
88,44.0,36.54
89,44.5,35.71
90,45.0,34.89
91,45.5,34.07
92,46.0,33.25
93,46.5,32.44
94,47.0,31.63
95,47.5,30.82
96,48.0,30.01
97,48.5,29.21
98,49.0,28.41
99,49.5,27.62
100,50.0,26.82
101,50.5,26.04
102,51.0,25.25
103,51.5,24.47
104,52.0,23.69
105,52.5,22.91
106,53.0,22.14
107,53.5,21.37
108,54.0,20.61
109,54.5,19.85
110,55.0,19.09
111,55.5,18.33
112,56.0,17.58
113,56.5,16.83
114,57.0,16.09
