,stress_x,stress_y
0,0.0,812.55
1,0.5,758.75
2,1.0,705.57
3,1.5,653.61
4,2.0,603.44
5,2.5,555.55
6,3.0,510.36
7,3.5,468.21
8,4.0,429.35
9,4.5,393.92
10,5.0,361.99
11,5.5,333.53
12,6.0,308.44
13,6.5,286.57
14,7.0,267.7
15,7.5,251.59
16,8.0,237.97
17,8.5,226.56
18,9.0,217.09
19,9.5,209.28
20,10.0,202.88
21,10.5,197.66
22,11.0,193.42
23,11.5,189.97
24,12.0,187.16
25,12.5,184.84
26,13.0,182.92
27,13.5,181.3
28,14.0,179.9
29,14.5,178.68
30,15.0,177.59
31,15.5,176.59
32,16.0,175.65
33,16.5,174.76
34,17.0,173.91
35,17.5,173.08
36,18.0,172.27
37,18.5,171.47
38,19.0,170.67
39,19.5,169.88
40,20.0,169.09
41,20.5,168.31
42,21.0,167.53
43,21.5,166.74
44,22.0,165.96
45,22.5,165.18
46,23.0,164.4
47,23.5,163.63
48,24.0,162.85
49,24.5,162.07
50,25.0,161.29
51,25.5,160.51
52,26.0,159.74
53,26.5,158.96
54,27.0,158.19
55,27.5,157.41
56,28.0,156.64
57,28.5,155.86
58,29.0,155.09
59,29.5,154.31
60,30.0,153.54
61,30.5,152.77
62,31.0,152.0
63,31.5,151.23
64,32.0,150.46
65,32.5,149.69
66,33.0,148.92
67,33.5,148.15
68,34.0,147.38
69,34.5,146.61
70,35.0,145.85
71,35.5,145.08
72,36.0,144.31
73,36.5,143.55
74,37.0,142.78
75,37.5,142.02
76,38.0,141.26
77,38.5,140.49
78,39.0,139.73
79,39.5,138.97
80,40.0,138.21
81,40.5,137.45
82,41.0,136.69
83,41.5,135.93
84,42.0,135.18
85,42.5,134.42
86,43.0,133.66
87,43.5,132.91
88,44.0,132.15
89,44.5,131.4
90,45.0,130.65
91,45.5,129.89
92,46.0,129.14
93,46.5,128.39
94,47.0,127.64
95,47.5,126.89
96,48.0,126.14
97,48.5,125.4
98,49.0,124.65
99,49.5,123.9
100,50.0,123.16
101,50.5,122.42
102,51.0,121.67
103,51.5,120.93
104,52.0,120.19
105,52.5,119.45
106,53.0,118.71
107,53.5,117.97
108,54.0,117.23
109,54.5,116.49
110,55.0,115.76
111,55.5,115.02
112,56.0,114.29
113,56.5,113.55
114,57.0,112.82
115,57.5,112.09
116,58.0,111.36
117,58.5,110.63
118,59.0,109.9
119,59.5,109.17
120,60.0,108.45
121,60.5,107.72
122,61.0,107.0
123,61.5,106.27
124,62.0,105.55
125,62.5,104.83
126,63.0,104.11
127,63.5,103.39
128,64.0,102.67
129,64.5,101.96
130,65.0,101.24
131,65.5,100.52
132,66.0,99.81
133,66.5,99.1
134,67.0,98.38
135,67.5,97.67
136,68.0,96.96
137,68.5,96.26
138,69.0,95.55
139,69.5,94.84
140,70.0,94.14
141,70.5,93.43
142,71.0,92.73
143,71.5,92.03
144,72.0,91.33
145,72.5,90.63
146,73.0,89.93
147,73.5,89.23
148,74.0,88.53
149,74.5,87.84
150,75.0,87.15
151,75.5,86.45
152,76.0,85.76
153,76.5,85.07
154,77.0,84.38
155,77.5,83.7
156,78.0,83.01
157,78.5,82.32
158,79.0,81.64
159,79.5,80.96
160,80.0,80.28
161,80.5,79.6
162,81.0,78.92
163,81.5,78.24
164,82.0,77.56
165,82.5,76.89
166,83.0,76.21
167,83.5,75.54
168,84.0,74.87
169,84.5,74.2
170,85.0,73.53
171,85.5,72.86
172,86.0,72.2
173,86.5,71.53
174,87.0,70.87
175,87.5,70.21
176,88.0,69.54
177,88.5,68.88
178,89.0,68.23
179,89.5,67.57
180,90.0,66.91
181,90.5,66.26
182,91.0,65.61
183,91.5,64.96
184,92.0,64.31
185,92.5,63.66
186,93.0,63.01
187,93.5,62.36
188,94.0,61.72
189,94.5,61.08
190,95.0,60.43
191,95.5,59.79
192,96.0,59.15
193,96.5,58.52
194,97.0,57.88
195,97.5,57.25
196,98.0,56.61
197,98.5,55.98
198,99.0,55.35
199,99.5,54.72
200,100.0,54.09
201,100.5,53.47
202,101.0,52.84
203,101.5,52.22
204,102.0,51.6
205,102.5,50.98
206,103.0,50.36
207,103.5,49.74
208,104.0,49.12
209,104.5,48.51
210,105.0,47.89
211,105.5,47.28
212,106.0,46.67
213,106.5,46.06
214,107.0,45.46
215,107.5,44.85
216,108.0,44.25
217,108.5,43.64
218,109.0,43.04
219,109.5,42.44
220,110.0,41.84
221,110.5,41.25
222,111.0,40.65
223,111.5,40.06
224,112.0,39.47
225,112.5,38.88
226,113.0,38.29
227,113.5,37.7
228,114.0,37.11
229,114.5,36.53
230,115.0,35.95
231,115.5,35.36
232,116.0,34.78
233,116.5,34.21
234,117.0,33.63
235,117.5,33.05
236,118.0,32.48
237,118.5,31.91
238,119.0,31.34
239,119.5,30.77
240,120.0,30.2
241,120.5,29.63
242,121.0,29.07
243,121.5,28.51
244,122.0,27.94
245,122.5,27.38
246,123.0,26.83
247,123.5,26.27
248,124.0,25.71
249,124.5,25.16
250,125.0,24.61
251,125.5,24.06
252,126.0,23.51
253,126.5,22.96
254,127.0,22.42
255,127.5,21.87
256,128.0,21.33
257,128.5,20.79
258,129.0,20.25
259,129.5,19.71
260,130.0,19.18
261,130.5,18.64
262,131.0,18.11
263,131.5,17.58
264,132.0,17.05
265,132.5,16.52
266,133.0,15.99
267,133.5,15.47
268,134.0,14.95
269,134.5,14.42
270,135.0,13.9
271,135.5,13.39
272,136.0,12.87
273,136.5,12.35
274,137.0,11.84
275,137.5,11.33
276,138.0,10.82
277,138.5,10.31
278,139.0,9.8
279,139.5,9.3
280,140.0,8.79
281,140.5,8.29
282,141.0,7.79
283,141.5,7.29
284,142.0,6.79
285,142.5,6.3
286,143.0,5.8
287,143.5,5.31
288,144.0,4.82
289,144.5,4.33
290,145.0,3.84
291,145.5,3.36
292,146.0,2.87
293,146.5,2.39
294,147.0,1.91
295,147.5,1.43
296,148.0,0.95
297,148.5,0.47
298,149.0,-0.0
299,149.5,-0.48
300,150.0,-0.95
301,150.5,-1.42
302,151.0,-1.89
303,151.5,-2.35
304,152.0,-2.82
305,152.5,-3.28
306,153.0,-3.74
307,153.5,-4.2
308,154.0,-4.66
309,154.5,-5.12
310,155.0,-5.57
311,155.5,-6.03
312,156.0,-6.48
313,156.5,-6.93
314,157.0,-7.38
315,157.5,-7.83
316,158.0,-8.27
317,158.5,-8.72
318,159.0,-9.16
319,159.5,-9.6
320,160.0,-10.04
321,160.5,-10.48
322,161.0,-10.91
323,161.5,-11.35
324,162.0,-11.78
325,162.5,-12.21
326,163.0,-12.64
327,163.5,-13.07
328,164.0,-13.5
329,164.5,-13.92
330,165.0,-14.35
331,165.5,-14.77
332,166.0,-15.19
333,166.5,-15.61
334,167.0,-16.02
335,167.5,-16.44
336,168.0,-16.85
337,168.5,-17.26
338,169.0,-17.67
339,169.5,-18.08
340,170.0,-18.49
341,170.5,-18.9
342,171.0,-19.3
343,171.5,-19.7
344,172.0,-20.1
345,172.5,-20.5
346,173.0,-20.9
347,173.5,-21.3
348,174.0,-21.69
349,174.5,-22.09
350,175.0,-22.48
351,175.5,-22.87
352,176.0,-23.26
353,176.5,-23.64
354,177.0,-24.03
355,177.5,-24.41
356,178.0,-24.79
357,178.5,-25.17
358,179.0,-25.55
359,179.5,-25.93
360,180.0,-26.31
361,180.5,-26.68
362,181.0,-27.05
363,181.5,-27.43
364,182.0,-27.8
365,182.5,-28.16
366,183.0,-28.53
367,183.5,-28.9
368,184.0,-29.26
369,184.5,-29.62
370,185.0,-29.98
371,185.5,-30.34
372,186.0,-30.7
373,186.5,-31.05
374,187.0,-31.41
375,187.5,-31.76
376,188.0,-32.11
377,188.5,-32.46
378,189.0,-32.81
379,189.5,-33.16
380,190.0,-33.5
381,190.5,-33.85
