"# Depth/um	Stress/MPa	Orihara Stress Fit/Mpa"
"0.00	812.55	255.31"
"0.50	758.75	253.78"
"1.00	705.57	252.24"
"1.50	653.61	250.71"
"2.00	603.44	249.18"
"2.50	555.55	247.65"
"3.00	510.36	246.12"
"3.50	468.21	244.59"
"4.00	429.35	243.06"
"4.50	393.92	241.53"
"5.00	361.99	240.00"
"5.50	333.53	238.48"
"6.00	308.44	236.95"
"6.50	286.57	235.43"
"7.00	267.70	233.91"
"7.50	251.59	232.39"
"8.00	237.97	230.88"
"8.50	226.56	229.36"
"9.00	217.09	227.85"
"9.50	209.28	226.34"
"10.00	202.88	224.83"
"10.50	197.66	223.33"
"11.00	193.42	221.83"
"11.50	189.97	220.33"
"12.00	187.16	218.84"
"12.50	184.84	217.34"
"13.00	182.92	215.86"
"13.50	181.30	214.37"
"14.00	179.90	212.89"
"14.50	178.68	211.41"
"15.00	177.59	209.94"
"15.50	176.59	208.47"
"16.00	175.65	207.00"
"16.50	174.76	205.54"
"17.00	173.91	204.09"
"17.50	173.08	202.63"
"18.00	172.27	201.19"
"18.50	171.47	199.74"
"19.00	170.67	198.30"
"19.50	169.88	196.87"
"20.00	169.09	195.44"
"20.50	168.31	194.02"
"21.00	167.53	192.60"
"21.50	166.74	191.19"
"22.00	165.96	189.78"
"22.50	165.18	188.38"
"23.00	164.40	186.98"
"23.50	163.63	185.59"
"24.00	162.85	184.20"
"24.50	162.07	182.82"
"25.00	161.29	181.45"
"25.50	160.51	180.08"
"26.00	159.74	178.72"
"26.50	158.96	177.37"
"27.00	158.19	176.02"
"27.50	157.41	174.67"
"28.00	156.64	173.34"
"28.50	155.86	172.01"
"29.00	155.09	170.68"
"29.50	154.31	169.36"
"30.00	153.54	168.05"
"30.50	152.77	166.75"
"31.00	152.00	165.45"
"31.50	151.23	164.16"
"32.00	150.46	162.88"
"32.50	149.69	161.60"
"33.00	148.92	160.33"
"33.50	148.15	159.07"
"34.00	147.38	157.81"
"34.50	146.61	156.56"
"35.00	145.85	155.32"
"35.50	145.08	154.08"
"36.00	144.31	152.86"
"36.50	143.55	151.64"
"37.00	142.78	150.42"
"37.50	142.02	149.22"
"38.00	141.26	148.02"
"38.50	140.49	146.82"
"39.00	139.73	145.64"
"39.50	138.97	144.46"
"40.00	138.21	143.29"
"40.50	137.45	142.13"
"41.00	136.69	140.98"
"41.50	135.93	139.83"
"42.00	135.18	138.69"
"42.50	134.42	137.56"
"43.00	133.66	136.43"
"43.50	132.91	135.31"
"44.00	132.15	134.20"
"44.50	131.40	133.10"
"45.00	130.65	132.00"
"45.50	129.89	130.91"
"46.00	129.14	129.83"
"46.50	128.39	128.76"
"47.00	127.64	127.69"
"47.50	126.89	126.63"
"48.00	126.14	125.58"
"48.50	125.40	124.54"
"49.00	124.65	123.50"
"49.50	123.90	122.47"
"50.00	123.16	121.45"
"50.50	122.42	120.43"
"51.00	121.67	119.43"
"51.50	120.93	118.42"
"52.00	120.19	117.43"
"52.50	119.45	116.44"
"53.00	118.71	115.47"
"53.50	117.97	114.49"
"54.00	117.23	113.53"
"54.50	116.49	112.57"
"55.00	115.76	111.62"
"55.50	115.02	110.67"
"56.00	114.29	109.74"
"56.50	113.55	108.81"
"57.00	112.82	107.88"
"57.50	112.09	106.97"
"58.00	111.36	106.06"
"58.50	110.63	105.15"
"59.00	109.90	104.25"
"59.50	109.17	103.36"
"60.00	108.45	102.48"
"60.50	107.72	101.60"
"61.00	107.00	100.73"
"61.50	106.27	99.87"
"62.00	105.55	99.01"
"62.50	104.83	98.16"
"63.00	104.11	97.31"
"63.50	103.39	96.48"
"64.00	102.67	95.64"
"64.50	101.96	94.82"
"65.00	101.24	94.00"
"65.50	100.52	93.18"
"66.00	99.81	92.37"
"66.50	99.10	91.57"
"67.00	98.38	90.77"
"67.50	97.67	89.98"
"68.00	96.96	89.20"
"68.50	96.26	88.42"
"69.00	95.55	87.64"
"69.50	94.84	86.87"
"70.00	94.14	86.11"
"70.50	93.43	85.35"
"71.00	92.73	84.60"
"71.50	92.03	83.86"
"72.00	91.33	83.11"
"72.50	90.63	82.38"
"73.00	89.93	81.65"
"73.50	89.23	80.92"
"74.00	88.53	80.20"
"74.50	87.84	79.48"
"75.00	87.15	78.77"
"75.50	86.45	78.07"
"76.00	85.76	77.37"
"76.50	85.07	76.67"
"77.00	84.38	75.98"
"77.50	83.70	75.29"
"78.00	83.01	74.61"
"78.50	82.32	73.93"
"79.00	81.64	73.26"
"79.50	80.96	72.59"
"80.00	80.28	71.92"
"80.50	79.60	71.26"
"81.00	78.92	70.61"
"81.50	78.24	69.95"
"82.00	77.56	69.31"
"82.50	76.89	68.66"
"83.00	76.21	68.02"
"83.50	75.54	67.39"
"84.00	74.87	66.76"
"84.50	74.20	66.13"
"85.00	73.53	65.50"
"85.50	72.86	64.88"
"86.00	72.20	64.27"
"86.50	71.53	63.65"
"87.00	70.87	63.05"
"87.50	70.21	62.44"
"88.00	69.54	61.84"
"88.50	68.88	61.24"
"89.00	68.23	60.64"
"89.50	67.57	60.05"
"90.00	66.91	59.46"
"90.50	66.26	58.88"
"91.00	65.61	58.29"
"91.50	64.96	57.72"
"92.00	64.31	57.14"
"92.50	63.66	56.57"
"93.00	63.01	56.00"
"93.50	62.36	55.43"
"94.00	61.72	54.87"
"94.50	61.08	54.30"
"95.00	60.43	53.75"
"95.50	59.79	53.19"
"96.00	59.15	52.64"
"96.50	58.52	52.09"
"97.00	57.88	51.54"
"97.50	57.25	51.00"
"98.00	56.61	50.45"
"98.50	55.98	49.91"
"99.00	55.35	49.38"
"99.50	54.72	48.84"
"100.00	54.09	48.31"
"100.50	53.47	47.78"
"101.00	52.84	47.25"
"101.50	52.22	46.73"
"102.00	51.60	46.21"
"102.50	50.98	45.69"
"103.00	50.36	45.17"
"103.50	49.74	44.65"
"104.00	49.12	44.14"
"104.50	48.51	43.63"
"105.00	47.89	43.12"
"105.50	47.28	42.61"
"106.00	46.67	42.11"
"106.50	46.06	41.60"
"107.00	45.46	41.10"
"107.50	44.85	40.60"
"108.00	44.25	40.10"
"108.50	43.64	39.61"
"109.00	43.04	39.12"
"109.50	42.44	38.62"
"110.00	41.84	38.13"
"110.50	41.25	37.65"
"111.00	40.65	37.16"
"111.50	40.06	36.67"
"112.00	39.47	36.19"
"112.50	38.88	35.71"
"113.00	38.29	35.23"
"113.50	37.70	34.75"
"114.00	37.11	34.28"
"114.50	36.53	33.80"
"115.00	35.95	33.33"
"115.50	35.36	32.86"
"116.00	34.78	32.39"
"116.50	34.21	31.92"
"117.00	33.63	31.45"
"117.50	33.05	30.99"
"118.00	32.48	30.52"
"118.50	31.91	30.06"
"119.00	31.34	29.60"
"119.50	30.77	29.14"
"120.00	30.20	28.68"
"120.50	29.63	28.23"
"121.00	29.07	27.77"
"121.50	28.51	27.32"
"122.00	27.94	26.86"
"122.50	27.38	26.41"
"123.00	26.83	25.96"
"123.50	26.27	25.51"
"124.00	25.71	25.07"
"124.50	25.16	24.62"
"125.00	24.61	24.17"
"125.50	24.06	23.73"
"126.00	23.51	23.29"
"126.50	22.96	22.85"
"127.00	22.42	22.41"
"127.50	21.87	21.97"
"128.00	21.33	21.53"
"128.50	20.79	21.10"
"129.00	20.25	20.66"
"129.50	19.71	20.23"
"130.00	19.18	19.79"
"130.50	18.64	19.36"
"131.00	18.11	18.93"
"131.50	17.58	18.50"
"132.00	17.05	18.07"
"132.50	16.52	17.65"
"133.00	15.99	17.22"
"133.50	15.47	16.80"
"134.00	14.95	16.37"
"134.50	14.42	15.95"
"135.00	13.90	15.53"
"135.50	13.39	15.11"
"136.00	12.87	14.69"
"136.50	12.35	14.27"
"137.00	11.84	13.85"
"137.50	11.33	13.44"
"138.00	10.82	13.02"
"138.50	10.31	12.61"
"139.00	9.80	12.19"
"139.50	9.30	11.78"
"140.00	8.79	11.37"
"140.50	8.29	10.96"
"141.00	7.79	10.55"
"141.50	7.29	10.14"
"142.00	6.79	9.73"
"142.50	6.30	9.33"
"143.00	5.80	8.92"
"143.50	5.31	8.52"
"144.00	4.82	8.12"
"144.50	4.33	7.71"
"145.00	3.84	7.31"
"145.50	3.36	6.91"
"146.00	2.87	6.51"
"146.50	2.39	6.11"
"147.00	1.91	5.72"
"147.50	1.43	5.32"
"148.00	0.95	4.93"
"148.50	0.47	4.53"
