stress_x,stress_y
226,-7.64
226.5,-7.91
227,-8.19
227.5,-8.46
228,-8.73
228.5,-9
229,-9.27
229.5,-9.54
230,-9.81
230.5,-10.07
231,-10.34
231.5,-10.6
232,-10.86
232.5,-11.13
233,-11.39
233.5,-11.64
234,-11.9
234.5,-12.16
235,-12.41
235.5,-12.67
236,-12.92
236.5,-13.17
237,-13.42
237.5,-13.67
238,-13.92
238.5,-14.16
239,-14.41
239.5,-14.65
240,-14.89
240.5,-15.14
241,-15.38
241.5,-15.62
242,-15.85
242.5,-16.09
243,-16.33
243.5,-16.56
244,-16.8
244.5,-17.03
245,-17.26
245.5,-17.49
246,-17.72
246.5,-17.95
247,-18.17
247.5,-18.4
248,-18.63
248.5,-18.85
249,-19.07
249.5,-19.29
250,-19.51
250.5,-19.73
251,-19.95
251.5,-20.17
252,-20.38
252.5,-20.6
253,-20.81
253.5,-21.02
254,-21.24
254.5,-21.45
255,-21.65
255.5,-21.86
256,-22.07
256.5,-22.28
257,-22.48
257.5,-22.69
258,-22.89
258.5,-23.09
259,-23.29
259.5,-23.49
260,-23.69
260.5,-23.89
261,-24.08
261.5,-24.28
262,-24.48
262.5,-24.67
263,-24.86
263.5,-25.05
264,-25.24
264.5,-25.43
265,-25.62
265.5,-25.81
266,-26
266.5,-26.18
267,-26.37
267.5,-26.55
268,-26.73
268.5,-26.91
269,-27.1
269.5,-27.27
270,-27.45
270.5,-27.63
271,-27.81
271.5,-27.98
272,-28.16
272.5,-28.33
273,-28.51
273.5,-28.68
274,-28.85
274.5,-29.02
275,-29.19
275.5,-29.36
276,-29.52
276.5,-29.69
277,-29.86
277.5,-30.02
278,-30.19
278.5,-30.35
279,-30.51
279.5,-30.67
280,-30.83
280.5,-30.99
281,-31.15
281.5,-31.31
282,-31.46
282.5,-31.62
283,-31.77
283.5,-31.93
284,-32.08
284.5,-32.23
285,-32.38
285.5,-32.53
286,-32.68
286.5,-32.83
287,-32.98
287.5,-33.13
288,-33.27
288.5,-33.42
289,-33.56
289.5,-33.71
290,-33.85
290.5,-33.99
291,-34.13
291.5,-34.27
292,-34.41
292.5,-34.55
293,-34.69
293.5,-34.83
294,-34.96
294.5,-35.1
295,-35.23
295.5,-35.37
296,-35.5
296.5,-35.63
297,-35.76
297.5,-35.89
298,-36.02
298.5,-36.15
299,-36.28
299.5,-36.41
300,-36.54
300.5,-36.66
301,-36.79
301.5,-36.91
302,-37.04
302.5,-37.16
303,-37.28
303.5,-37.4
304,-37.52
304.5,-37.64
305,-37.76
305.5,-37.88
306,-38
306.5,-38.12
307,-38.23
307.5,-38.35
308,-38.46
308.5,-38.58
309,-38.69
309.5,-38.81
310,-38.92
310.5,-39.03
311,-39.14
311.5,-39.25
312,-39.36
312.5,-39.47
313,-39.58
313.5,-39.68
314,-39.79
314.5,-39.9
315,-40
315.5,-40.11
316,-40.21
316.5,-40.32
317,-40.42
317.5,-40.52
318,-40.62
318.5,-40.72
319,-40.82
319.5,-40.92
320,-41.02
320.5,-41.12
321,-41.22
321.5,-41.31
322,-41.41
322.5,-41.51
323,-41.6
323.5,-41.7
324,-41.79
324.5,-41.88
325,-41.98
325.5,-42.07
326,-42.16
326.5,-42.25
327,-42.34
327.5,-42.43
328,-42.52
328.5,-42.61
329,-42.7
329.5,-42.78
330,-42.87
330.5,-42.96
331,-43.04
331.5,-43.13
332,-43.21
332.5,-43.3
333,-43.38
333.5,-43.46
334,-43.55
334.5,-43.63
335,-43.71
335.5,-43.79
336,-43.87
336.5,-43.95
337,-44.03
337.5,-44.11
338,-44.19
338.5,-44.26
339,-44.34
339.5,-44.42
340,-44.49
340.5,-44.57
341,-44.64
341.5,-44.72
342,-44.79
342.5,-44.86
343,-44.94
343.5,-45.01
344,-45.08
344.5,-45.15
345,-45.22
345.5,-45.29
346,-45.36
346.5,-45.43
347,-45.5
347.5,-45.57
348,-45.64
348.5,-45.71
349,-45.77
349.5,-45.84
350,-45.91
350.5,-45.97
351,-46.04
351.5,-46.1
352,-46.17
352.5,-46.23
353,-46.29
353.5,-46.36
354,-46.42
354.5,-46.48
355,-46.54
355.5,-46.6
356,-46.66
356.5,-46.72
357,-46.78
357.5,-46.84
358,-46.9
358.5,-46.96
359,-47.02
359.5,-47.08
360,-47.13
360.5,-47.19
361,-47.25
361.5,-47.3
362,-47.36
362.5,-47.42
363,-47.47
363.5,-47.52
364,-47.58
364.5,-47.63
365,-47.69
365.5,-47.74
366,-47.79
366.5,-47.84
367,-47.9
367.5,-47.95
368,-48
368.5,-48.05
369,-48.1
369.5,-48.15
370,-48.2
370.5,-48.25
371,-48.3
371.5,-48.34
372,-48.39
372.5,-48.44
373,-48.49
373.5,-48.53
374,-48.58
374.5,-48.63
375,-48.67
375.5,-48.72
376,-48.76
376.5,-48.81
377,-48.85
377.5,-48.9
378,-48.94
378.5,-48.99
379,-49.03
379.5,-49.07
380,-49.11
380.5,-49.16
381,-49.2
381.5,-49.24
382,-49.28
382.5,-49.32
383,-49.36
383.5,-49.4
384,-49.44
384.5,-49.48
385,-49.52
385.5,-49.56
386,-49.6
386.5,-49.64
387,-49.68
387.5,-49.72
388,-49.75
388.5,-49.79
389,-49.83
389.5,-49.87
390,-49.9
390.5,-49.94
391,-49.97
391.5,-50.01
392,-50.05
392.5,-50.08
393,-50.12
393.5,-50.15
394,-50.18
394.5,-50.22
395,-50.25
395.5,-50.29
396,-50.32
396.5,-50.35
397,-50.38
397.5,-50.42
398,-50.45
398.5,-50.48
399,-50.51
399.5,-50.54
400,-50.58
400.5,-50.61
401,-50.64
401.5,-50.67
402,-50.7
402.5,-50.73
403,-50.76
403.5,-50.79
404,-50.82
404.5,-50.84
405,-50.87
405.5,-50.9
406,-50.93
406.5,-50.96
407,-50.99
407.5,-51.01
408,-51.04
408.5,-51.07
409,-51.1
409.5,-51.12
410,-51.15
410.5,-51.17
411,-51.2
411.5,-51.23
412,-51.25
412.5,-51.28
413,-51.3
413.5,-51.33
414,-51.35
414.5,-51.38
415,-51.4
415.5,-51.43
416,-51.45
416.5,-51.47
417,-51.5
417.5,-51.52
418,-51.54
418.5,-51.57
419,-51.59
419.5,-51.61
420,-51.63
420.5,-51.66
421,-51.68
421.5,-51.7
422,-51.72
422.5,-51.74
423,-51.77
423.5,-51.79
424,-51.81
424.5,-51.83
425,-51.85
425.5,-51.87
426,-51.89
426.5,-51.91
427,-51.93
427.5,-51.95
428,-51.97
428.5,-51.99
429,-52.01
429.5,-52.03
430,-52.05
430.5,-52.06
431,-52.08
431.5,-52.1
432,-52.12
432.5,-52.14
433,-52.16
433.5,-52.17
434,-52.19
434.5,-52.21
435,-52.23
435.5,-52.24
436,-52.26
436.5,-52.28
437,-52.29
437.5,-52.31
438,-52.33
438.5,-52.34
439,-52.36
439.5,-52.38
440,-52.39
440.5,-52.41
441,-52.42
441.5,-52.44
442,-52.45
442.5,-52.47
443,-52.48
443.5,-52.5
444,-52.51
444.5,-52.53
445,-52.54
445.5,-52.56
446,-52.57
446.5,-52.59
447,-52.6
447.5,-52.61
448,-52.63
448.5,-52.64
449,-52.65
449.5,-52.67
450,-52.68
450.5,-52.69
451,-52.71
451.5,-52.72
452,-52.73
452.5,-52.75
453,-52.76
453.5,-52.77
454,-52.78
454.5,-52.8
455,-52.81
455.5,-52.82
456,-52.83
456.5,-52.84
457,-52.86
457.5,-52.87
458,-52.88
458.5,-52.89
459,-52.9
459.5,-52.91
460,-52.92
460.5,-52.93
461,-52.94
461.5,-52.96
462,-52.97
462.5,-52.98
463,-52.99
463.5,-53
464,-53.01
464.5,-53.02
465,-53.03
465.5,-53.04
466,-53.05
466.5,-53.06
467,-53.07
467.5,-53.08
468,-53.09
468.5,-53.1
469,-53.11
469.5,-53.12
470,-53.12
470.5,-53.13
471,-53.14
471.5,-53.15
472,-53.16
472.5,-53.17
473,-53.18
473.5,-53.19
474,-53.19
474.5,-53.2
475,-53.21
475.5,-53.22
476,-53.23
476.5,-53.24
477,-53.24
477.5,-53.25
478,-53.26
478.5,-53.27
479,-53.28
479.5,-53.28
480,-53.29
480.5,-53.3
481,-53.31
481.5,-53.31
482,-53.32
482.5,-53.33
483,-53.33
483.5,-53.34
484,-53.35
484.5,-53.36
485,-53.36
485.5,-53.37
486,-53.38
486.5,-53.38
487,-53.39
487.5,-53.4
488,-53.4
488.5,-53.41
489,-53.42
489.5,-53.42
490,-53.43
490.5,-53.43
491,-53.44
491.5,-53.45
492,-53.45
492.5,-53.46
493,-53.46
493.5,-53.47
494,-53.48
494.5,-53.48
495,-53.49
495.5,-53.49
496,-53.5
496.5,-53.5
497,-53.51
497.5,-53.51
498,-53.52
498.5,-53.53
499,-53.53
499.5,-53.54
500,-53.54
500.5,-53.55
501,-53.55
501.5,-53.56
502,-53.56
502.5,-53.57
503,-53.57
503.5,-53.58
504,-53.58
504.5,-53.58
505,-53.59
505.5,-53.59
506,-53.6
506.5,-53.6
507,-53.61
507.5,-53.61
508,-53.62
508.5,-53.62
509,-53.63
509.5,-53.63
510,-53.63
510.5,-53.64
511,-53.64
511.5,-53.65
512,-53.65
512.5,-53.65
513,-53.66
513.5,-53.66
514,-53.67
514.5,-53.67
515,-53.67
515.5,-53.68
516,-53.68
516.5,-53.68
517,-53.69
517.5,-53.69
518,-53.69
518.5,-53.7
519,-53.7
519.5,-53.71
520,-53.71
520.5,-53.71
521,-53.72
521.5,-53.72
522,-53.72
522.5,-53.73
523,-53.73
523.5,-53.73
524,-53.73
524.5,-53.74
525,-53.74
525.5,-53.74
526,-53.75
526.5,-53.75
527,-53.75
527.5,-53.76
528,-53.76
528.5,-53.76
529,-53.76
529.5,-53.77
530,-53.77
530.5,-53.77
531,-53.78
531.5,-53.78
532,-53.78
532.5,-53.78
533,-53.79
533.5,-53.79
534,-53.79
534.5,-53.79
