"# Depth/um	Stress/MPa	Orihara Stress Fit/Mpa"
"110.50	-24.11	-15.02"
"111.00	-24.63	-15.47"
"111.50	-25.14	-15.93"
"112.00	-25.65	-16.38"
"112.50	-26.15	-16.83"
"113.00	-26.65	-17.28"
"113.50	-27.15	-17.72"
"114.00	-27.65	-18.17"
"114.50	-28.14	-18.61"
"115.00	-28.62	-19.05"
"115.50	-29.11	-19.49"
"116.00	-29.59	-19.92"
"116.50	-30.07	-20.36"
"117.00	-30.55	-20.79"
"117.50	-31.02	-21.22"
"118.00	-31.49	-21.65"
"118.50	-31.95	-22.07"
"119.00	-32.42	-22.50"
"119.50	-32.88	-22.92"
"120.00	-33.33	-23.34"
"120.50	-33.79	-23.76"
"121.00	-34.24	-24.17"
"121.50	-34.68	-24.59"
"122.00	-35.13	-25.00"
"122.50	-35.57	-25.41"
"123.00	-36.01	-25.82"
"123.50	-36.44	-26.23"
"124.00	-36.88	-26.63"
"124.50	-37.30	-27.03"
"125.00	-37.73	-27.43"
"125.50	-38.15	-27.83"
"126.00	-38.57	-28.23"
"126.50	-38.99	-28.62"
"127.00	-39.40	-29.02"
"127.50	-39.82	-29.41"
"128.00	-40.22	-29.80"
"128.50	-40.63	-30.18"
"129.00	-41.03	-30.57"
"129.50	-41.43	-30.95"
"130.00	-41.83	-31.33"
"130.50	-42.22	-31.71"
"131.00	-42.61	-32.09"
"131.50	-43.00	-32.46"
"132.00	-43.38	-32.84"
"132.50	-43.76	-33.21"
"133.00	-44.14	-33.58"
"133.50	-44.52	-33.95"
"134.00	-44.89	-34.31"
"134.50	-45.26	-34.68"
"135.00	-45.63	-35.04"
"135.50	-45.99	-35.40"
"136.00	-46.36	-35.75"
"136.50	-46.72	-36.11"
"137.00	-47.07	-36.46"
"137.50	-47.43	-36.82"
"138.00	-47.78	-37.17"
"138.50	-48.12	-37.52"
"139.00	-48.47	-37.86"
"139.50	-48.81	-38.21"
"140.00	-49.15	-38.55"
"140.50	-49.49	-38.89"
"141.00	-49.82	-39.23"
"141.50	-50.15	-39.57"
"142.00	-50.48	-39.90"
"142.50	-50.81	-40.23"
"143.00	-51.13	-40.56"
"143.50	-51.46	-40.89"
"144.00	-51.77	-41.22"
"144.50	-52.09	-41.55"
"145.00	-52.40	-41.87"
"145.50	-52.71	-42.19"
"146.00	-53.02	-42.51"
"146.50	-53.33	-42.83"
"147.00	-53.63	-43.15"
"147.50	-53.93	-43.46"
"148.00	-54.23	-43.77"
"148.50	-54.53	-44.08"
"149.00	-54.82	-44.39"
"149.50	-55.11	-44.70"
"150.00	-55.40	-45.01"
"150.50	-55.68	-45.31"
"151.00	-55.97	-45.61"
"151.50	-56.25	-45.91"
"152.00	-56.53	-46.21"
"152.50	-56.80	-46.50"
"153.00	-57.08	-46.80"
"153.50	-57.35	-47.09"
"154.00	-57.62	-47.38"
"154.50	-57.88	-47.67"
"155.00	-58.15	-47.95"
"155.50	-58.41	-48.24"
"156.00	-58.67	-48.52"
"156.50	-58.93	-48.80"
"157.00	-59.18	-49.08"
"157.50	-59.43	-49.36"
"158.00	-59.68	-49.64"
"158.50	-59.93	-49.91"
"159.00	-60.18	-50.18"
"159.50	-60.42	-50.45"
"160.00	-60.66	-50.72"
"160.50	-60.90	-50.99"
"161.00	-61.14	-51.25"
"161.50	-61.38	-51.52"
"162.00	-61.61	-51.78"
"162.50	-61.84	-52.04"
"163.00	-62.07	-52.30"
"163.50	-62.29	-52.55"
"164.00	-62.52	-52.81"
"164.50	-62.74	-53.06"
"165.00	-62.96	-53.31"
"165.50	-63.18	-53.56"
"166.00	-63.40	-53.81"
"166.50	-63.61	-54.06"
"167.00	-63.82	-54.30"
"167.50	-64.03	-54.54"
"168.00	-64.24	-54.78"
"168.50	-64.45	-55.02"
"169.00	-64.65	-55.26"
"169.50	-64.85	-55.50"
"170.00	-65.05	-55.73"
"170.50	-65.25	-55.96"
"171.00	-65.45	-56.19"
"171.50	-65.64	-56.42"
"172.00	-65.84	-56.65"
"172.50	-66.03	-56.87"
"173.00	-66.22	-57.10"
"173.50	-66.40	-57.32"
"174.00	-66.59	-57.54"
"174.50	-66.77	-57.76"
"175.00	-66.95	-57.98"
"175.50	-67.13	-58.19"
"176.00	-67.31	-58.40"
"176.50	-67.49	-58.62"
"177.00	-67.66	-58.83"
"177.50	-67.83	-59.04"
"178.00	-68.00	-59.24"
"178.50	-68.17	-59.45"
"179.00	-68.34	-59.65"
"179.50	-68.51	-59.85"
"180.00	-68.67	-60.06"
"180.50	-68.83	-60.25"
"181.00	-68.99	-60.45"
"181.50	-69.15	-60.65"
"182.00	-69.31	-60.84"
"182.50	-69.47	-61.03"
"183.00	-69.62	-61.23"
"183.50	-69.77	-61.41"
"184.00	-69.92	-61.60"
"184.50	-70.07	-61.79"
"185.00	-70.22	-61.97"
"185.50	-70.37	-62.16"
"186.00	-70.51	-62.34"
"186.50	-70.66	-62.52"
"187.00	-70.80	-62.70"
"187.50	-70.94	-62.87"
"188.00	-71.08	-63.05"
"188.50	-71.22	-63.22"
"189.00	-71.35	-63.39"
"189.50	-71.49	-63.56"
"190.00	-71.62	-63.73"
"190.50	-71.75	-63.90"
"191.00	-71.88	-64.07"
"191.50	-72.01	-64.23"
"192.00	-72.14	-64.39"
"192.50	-72.26	-64.56"
"193.00	-72.39	-64.72"
"193.50	-72.51	-64.87"
"194.00	-72.63	-65.03"
"194.50	-72.75	-65.19"
"195.00	-72.87	-65.34"
"195.50	-72.99	-65.49"
"196.00	-73.11	-65.64"
"196.50	-73.22	-65.79"
"197.00	-73.34	-65.94"
"197.50	-73.45	-66.09"
"198.00	-73.56	-66.23"
"198.50	-73.67	-66.37"
"199.00	-73.78	-66.52"
"199.50	-73.89	-66.66"
"200.00	-73.99	-66.80"
"200.50	-74.10	-66.93"
"201.00	-74.20	-67.07"
"201.50	-74.31	-67.20"
"202.00	-74.41	-67.34"
"202.50	-74.51	-67.47"
"203.00	-74.61	-67.60"
"203.50	-74.71	-67.73"
"204.00	-74.80	-67.86"
"204.50	-74.90	-67.98"
"205.00	-74.99	-68.11"
"205.50	-75.09	-68.23"
"206.00	-75.18	-68.35"
"206.50	-75.27	-68.47"
"207.00	-75.36	-68.59"
"207.50	-75.45	-68.71"
"208.00	-75.54	-68.82"
"208.50	-75.63	-68.94"
"209.00	-75.71	-69.05"
"209.50	-75.80	-69.16"
"210.00	-75.88	-69.27"
"210.50	-75.97	-69.38"
"211.00	-76.05	-69.49"
"211.50	-76.13	-69.60"
"212.00	-76.21	-69.70"
"212.50	-76.29	-69.81"
"213.00	-76.37	-69.91"
"213.50	-76.45	-70.01"
"214.00	-76.52	-70.11"
"214.50	-76.60	-70.21"
"215.00	-76.67	-70.30"
"215.50	-76.75	-70.40"
"216.00	-76.82	-70.49"
"216.50	-76.89	-70.58"
"217.00	-76.96	-70.68"
"217.50	-77.03	-70.77"
"218.00	-77.10	-70.85"
"218.50	-77.17	-70.94"
"219.00	-77.24	-71.03"
"219.50	-77.31	-71.11"
"220.00	-77.37	-71.20"
"220.50	-77.44	-71.28"
"221.00	-77.50	-71.36"
"221.50	-77.57	-71.44"
"222.00	-77.63	-71.51"
"222.50	-77.69	-71.59"
"223.00	-77.75	-71.67"
"223.50	-77.81	-71.74"
"224.00	-77.87	-71.81"
"224.50	-77.93	-71.88"
"225.00	-77.99	-71.95"
"225.50	-78.05	-72.02"
"226.00	-78.10	-72.09"
"226.50	-78.16	-72.16"
"227.00	-78.22	-72.22"
"227.50	-78.27	-72.28"
"228.00	-78.32	-72.35"
"228.50	-78.38	-72.41"
"229.00	-78.43	-72.47"
"229.50	-78.48	-72.52"
"230.00	-78.53	-72.58"
"230.50	-78.58	-72.64"
"231.00	-78.63	-72.69"
"231.50	-78.68	-72.74"
"232.00	-78.73	-72.80"
"232.50	-78.78	-72.85"
"233.00	-78.83	-72.90"
"233.50	-78.87	-72.94"
"234.00	-78.92	-72.99"
"234.50	-78.96	-73.04"
"235.00	-79.01	-73.08"
"235.50	-79.05	-73.12"
"236.00	-79.10	-73.16"
"236.50	-79.14	-73.21"
"237.00	-79.18	-73.24"
"237.50	-79.22	-73.28"
"238.00	-79.26	-73.32"
"238.50	-79.31	-73.35"
"239.00	-79.35	-73.39"
"239.50	-79.39	-73.42"
"240.00	-79.42	-73.45"
"240.50	-79.46	-73.48"
"241.00	-79.50	-73.51"
"241.50	-79.54	-73.54"
"242.00	-79.58	-73.57"
"242.50	-79.61	-73.59"
"243.00	-79.65	-73.61"
"243.50	-79.68	-73.64"
"244.00	-79.72	-73.66"
"244.50	-79.75	-73.68"
"245.00	-79.79	-73.70"
"245.50	-79.82	-73.71"
"246.00	-79.85	-73.73"
"246.50	-79.89	-73.75"
"247.00	-79.92	-73.76"
"247.50	-79.95	-73.77"
"248.00	-79.98	-73.78"
"248.50	-80.01	-73.79"
"249.00	-80.04	-73.80"
"249.50	-80.07	-73.81"
"250.00	-80.10	-73.82"
