,stress_x,stress_y
0,0.0,792.49
1,0.5,740.57
2,1.0,689.23
3,1.5,639.02
4,2.0,590.47
5,2.5,544.05
6,3.0,500.14
7,3.5,459.07
8,4.0,421.09
9,4.5,386.33
10,5.0,354.88
11,5.5,326.71
12,6.0,301.76
13,6.5,279.88
14,7.0,260.89
15,7.5,244.58
16,8.0,230.68
17,8.5,218.96
18,9.0,209.14
19,9.5,200.99
20,10.0,194.25
21,10.5,188.71
22,11.0,184.16
23,11.5,180.43
24,12.0,177.36
25,12.5,174.81
26,13.0,172.68
27,13.5,170.88
28,14.0,169.32
29,14.5,167.96
30,15.0,166.73
31,15.5,165.61
32,16.0,164.57
33,16.5,163.58
34,17.0,162.63
35,17.5,161.71
36,18.0,160.81
37,18.5,159.92
38,19.0,159.05
39,19.5,158.18
40,20.0,157.31
41,20.5,156.45
42,21.0,155.59
43,21.5,154.73
44,22.0,153.87
45,22.5,153.01
46,23.0,152.15
47,23.5,151.3
48,24.0,150.44
49,24.5,149.59
50,25.0,148.74
51,25.5,147.88
52,26.0,147.03
53,26.5,146.18
54,27.0,145.33
55,27.5,144.48
56,28.0,143.63
57,28.5,142.78
58,29.0,141.93
59,29.5,141.08
60,30.0,140.24
61,30.5,139.39
62,31.0,138.55
63,31.5,137.7
64,32.0,136.86
65,32.5,136.01
66,33.0,135.17
67,33.5,134.33
68,34.0,133.49
69,34.5,132.65
70,35.0,131.81
71,35.5,130.98
72,36.0,130.14
73,36.5,129.3
74,37.0,128.47
75,37.5,127.64
76,38.0,126.8
77,38.5,125.97
78,39.0,125.14
79,39.5,124.31
80,40.0,123.48
81,40.5,122.65
82,41.0,121.83
83,41.5,121.0
84,42.0,120.18
85,42.5,119.35
86,43.0,118.53
87,43.5,117.71
88,44.0,116.89
89,44.5,116.07
90,45.0,115.25
91,45.5,114.43
92,46.0,113.61
93,46.5,112.8
94,47.0,111.98
95,47.5,111.17
96,48.0,110.36
97,48.5,109.55
98,49.0,108.74
99,49.5,107.93
100,50.0,107.13
101,50.5,106.32
102,51.0,105.52
103,51.5,104.71
104,52.0,103.91
105,52.5,103.11
106,53.0,102.31
107,53.5,101.51
108,54.0,100.72
109,54.5,99.92
110,55.0,99.13
111,55.5,98.33
112,56.0,97.54
113,56.5,96.75
114,57.0,95.96
115,57.5,95.17
116,58.0,94.39
117,58.5,93.6
118,59.0,92.82
119,59.5,92.04
120,60.0,91.26
121,60.5,90.48
122,61.0,89.7
123,61.5,88.92
124,62.0,88.15
125,62.5,87.38
126,63.0,86.6
127,63.5,85.83
128,64.0,85.06
129,64.5,84.3
130,65.0,83.53
131,65.5,82.77
132,66.0,82.0
133,66.5,81.24
134,67.0,80.48
135,67.5,79.72
136,68.0,78.97
137,68.5,78.21
138,69.0,77.46
139,69.5,76.7
140,70.0,75.95
141,70.5,75.2
142,71.0,74.46
143,71.5,73.71
144,72.0,72.97
145,72.5,72.22
146,73.0,71.48
147,73.5,70.74
148,74.0,70.01
149,74.5,69.27
150,75.0,68.54
151,75.5,67.8
152,76.0,67.07
153,76.5,66.34
154,77.0,65.61
155,77.5,64.89
156,78.0,64.16
157,78.5,63.44
158,79.0,62.72
159,79.5,62.0
160,80.0,61.28
161,80.5,60.57
162,81.0,59.85
163,81.5,59.14
164,82.0,58.43
165,82.5,57.72
166,83.0,57.02
167,83.5,56.31
168,84.0,55.61
169,84.5,54.9
170,85.0,54.2
171,85.5,53.51
172,86.0,52.81
173,86.5,52.12
174,87.0,51.42
175,87.5,50.73
176,88.0,50.04
177,88.5,49.36
178,89.0,48.67
179,89.5,47.99
180,90.0,47.31
181,90.5,46.63
182,91.0,45.95
183,91.5,45.27
184,92.0,44.6
185,92.5,43.93
186,93.0,43.25
187,93.5,42.59
188,94.0,41.92
189,94.5,41.25
190,95.0,40.59
191,95.5,39.93
192,96.0,39.27
193,96.5,38.61
194,97.0,37.96
195,97.5,37.31
196,98.0,36.65
197,98.5,36.0
198,99.0,35.36
199,99.5,34.71
200,100.0,34.07
201,100.5,33.43
202,101.0,32.79
203,101.5,32.15
204,102.0,31.51
205,102.5,30.88
206,103.0,30.25
207,103.5,29.62
208,104.0,28.99
209,104.5,28.36
210,105.0,27.74
211,105.5,27.12
212,106.0,26.5
213,106.5,25.88
214,107.0,25.26
215,107.5,24.65
216,108.0,24.03
217,108.5,23.42
218,109.0,22.82
219,109.5,22.21
220,110.0,21.61
221,110.5,21.0
222,111.0,20.4
223,111.5,19.81
224,112.0,19.21
225,112.5,18.61
226,113.0,18.02
227,113.5,17.43
228,114.0,16.84
229,114.5,16.26
230,115.0,15.67
231,115.5,15.09
232,116.0,14.51
233,116.5,13.93
234,117.0,13.36
235,117.5,12.78
236,118.0,12.21
237,118.5,11.64
238,119.0,11.07
239,119.5,10.51
240,120.0,9.95
241,120.5,9.38
242,121.0,8.82
243,121.5,8.27
244,122.0,7.71
245,122.5,7.16
246,123.0,6.61
247,123.5,6.06
248,124.0,5.51
249,124.5,4.96
250,125.0,4.42
251,125.5,3.88
252,126.0,3.34
253,126.5,2.8
254,127.0,2.27
255,127.5,1.73
256,128.0,1.2
257,128.5,0.67
258,129.0,0.15
259,129.5,-0.38
260,130.0,-0.9
261,130.5,-1.42
262,131.0,-1.94
263,131.5,-2.46
264,132.0,-2.97
265,132.5,-3.48
266,133.0,-3.99
267,133.5,-4.5
268,134.0,-5.01
269,134.5,-5.51
270,135.0,-6.02
271,135.5,-6.52
272,136.0,-7.01
273,136.5,-7.51
274,137.0,-8.0
275,137.5,-8.5
276,138.0,-8.99
277,138.5,-9.47
278,139.0,-9.96
279,139.5,-10.44
280,140.0,-10.93
281,140.5,-11.41
282,141.0,-11.88
283,141.5,-12.36
284,142.0,-12.83
285,142.5,-13.31
286,143.0,-13.77
287,143.5,-14.24
288,144.0,-14.71
289,144.5,-15.17
290,145.0,-15.63
291,145.5,-16.09
292,146.0,-16.55
293,146.5,-17.01
294,147.0,-17.46
295,147.5,-17.91
296,148.0,-18.36
297,148.5,-18.81
298,149.0,-19.25
299,149.5,-19.7
300,150.0,-20.14
301,150.5,-20.58
302,151.0,-21.02
303,151.5,-21.45
304,152.0,-21.89
305,152.5,-22.32
306,153.0,-22.75
307,153.5,-23.17
308,154.0,-23.6
309,154.5,-24.02
310,155.0,-24.44
311,155.5,-24.86
312,156.0,-25.28
313,156.5,-25.7
314,157.0,-26.11
315,157.5,-26.52
316,158.0,-26.93
317,158.5,-27.34
318,159.0,-27.75
319,159.5,-28.15
320,160.0,-28.55
321,160.5,-28.95
322,161.0,-29.35
323,161.5,-29.75
324,162.0,-30.14
325,162.5,-30.53
326,163.0,-30.93
327,163.5,-31.31
328,164.0,-31.7
329,164.5,-32.09
330,165.0,-32.47
331,165.5,-32.85
332,166.0,-33.23
333,166.5,-33.61
334,167.0,-33.98
335,167.5,-34.35
336,168.0,-34.73
337,168.5,-35.1
338,169.0,-35.46
339,169.5,-35.83
340,170.0,-36.19
341,170.5,-36.55
342,171.0,-36.92
343,171.5,-37.27
344,172.0,-37.63
345,172.5,-37.98
346,173.0,-38.34
347,173.5,-38.69
348,174.0,-39.04
349,174.5,-39.39
350,175.0,-39.73
351,175.5,-40.07
352,176.0,-40.42
353,176.5,-40.76
354,177.0,-41.09
355,177.5,-41.43
356,178.0,-41.77
357,178.5,-42.1
358,179.0,-42.43
359,179.5,-42.76
360,180.0,-43.09
361,180.5,-43.41
362,181.0,-43.74
363,181.5,-44.06
364,182.0,-44.38
365,182.5,-44.7
366,183.0,-45.01
367,183.5,-45.33
368,184.0,-45.64
369,184.5,-45.95
370,185.0,-46.26
371,185.5,-46.57
372,186.0,-46.88
373,186.5,-47.18
374,187.0,-47.49
375,187.5,-47.79
376,188.0,-48.09
377,188.5,-48.39
378,189.0,-48.68
379,189.5,-48.98
380,190.0,-49.27
381,190.5,-49.56
382,191.0,-49.85
383,191.5,-50.14
384,192.0,-50.42
385,192.5,-50.71
386,193.0,-50.99
387,193.5,-51.27
388,194.0,-51.55
389,194.5,-51.83
390,195.0,-52.11
391,195.5,-52.38
392,196.0,-52.66
393,196.5,-52.93
394,197.0,-53.2
395,197.5,-53.46
396,198.0,-53.73
397,198.5,-54.0
398,199.0,-54.26
399,199.5,-54.52
400,200.0,-54.78
401,200.5,-55.04
402,201.0,-55.3
403,201.5,-55.55
404,202.0,-55.81
405,202.5,-56.06
406,203.0,-56.31
407,203.5,-56.56
408,204.0,-56.81
409,204.5,-57.06
410,205.0,-57.3
411,205.5,-57.54
412,206.0,-57.79
413,206.5,-58.03
414,207.0,-58.27
415,207.5,-58.5
416,208.0,-58.74
417,208.5,-58.97
418,209.0,-59.21
419,209.5,-59.44
420,210.0,-59.67
421,210.5,-59.9
422,211.0,-60.12
423,211.5,-60.35
424,212.0,-60.57
425,212.5,-60.8
426,213.0,-61.02
427,213.5,-61.24
428,214.0,-61.46
429,214.5,-61.67
430,215.0,-61.89
431,215.5,-62.1
432,216.0,-62.32
433,216.5,-62.53
434,217.0,-62.74
435,217.5,-62.95
436,218.0,-63.15
437,218.5,-63.36
438,219.0,-63.57
439,219.5,-63.77
440,220.0,-63.97
441,220.5,-64.17
442,221.0,-64.37
443,221.5,-64.57
444,222.0,-64.77
445,222.5,-64.96
446,223.0,-65.16
447,223.5,-65.35
448,224.0,-65.54
449,224.5,-65.73
450,225.0,-65.92
451,225.5,-66.11
452,226.0,-66.29
453,226.5,-66.48
454,227.0,-66.66
455,227.5,-66.84
456,228.0,-67.03
457,228.5,-67.21
458,229.0,-67.38
459,229.5,-67.56
460,230.0,-67.74
461,230.5,-67.91
462,231.0,-68.09
463,231.5,-68.26
464,232.0,-68.43
465,232.5,-68.6
466,233.0,-68.77
467,233.5,-68.94
468,234.0,-69.11
469,234.5,-69.27
470,235.0,-69.44
471,235.5,-69.6
472,236.0,-69.76
473,236.5,-69.92
474,237.0,-70.08
475,237.5,-70.24
476,238.0,-70.4
477,238.5,-70.55
478,239.0,-70.71
479,239.5,-70.86
480,240.0,-71.02
481,240.5,-71.17
482,241.0,-71.32
483,241.5,-71.47
484,242.0,-71.62
485,242.5,-71.77
486,243.0,-71.91
487,243.5,-72.06
488,244.0,-72.2
489,244.5,-72.35
490,245.0,-72.49
491,245.5,-72.63
492,246.0,-72.77
493,246.5,-72.91
494,247.0,-73.05
495,247.5,-73.18
496,248.0,-73.32
497,248.5,-73.45
498,249.0,-73.59
499,249.5,-73.72
500,250.0,-73.85
501,250.5,-73.98
502,251.0,-74.11
503,251.5,-74.24
504,252.0,-74.37
505,252.5,-74.5
506,253.0,-74.62
507,253.5,-74.75
508,254.0,-74.87
509,254.5,-75.0
510,255.0,-75.12
511,255.5,-75.24
512,256.0,-75.36
513,256.5,-75.48
514,257.0,-75.6
515,257.5,-75.72
516,258.0,-75.83
517,258.5,-75.95
518,259.0,-76.06
519,259.5,-76.18
520,260.0,-76.29
521,260.5,-76.4
522,261.0,-76.52
523,261.5,-76.63
524,262.0,-76.74
525,262.5,-76.84
526,263.0,-76.95
527,263.5,-77.06
528,264.0,-77.17
529,264.5,-77.27
530,265.0,-77.38
531,265.5,-77.48
532,266.0,-77.58
533,266.5,-77.68
534,267.0,-77.79
535,267.5,-77.89
536,268.0,-77.99
537,268.5,-78.08
538,269.0,-78.18
539,269.5,-78.28
540,270.0,-78.38
541,270.5,-78.47
542,271.0,-78.57
543,271.5,-78.66
544,272.0,-78.75
545,272.5,-78.85
546,273.0,-78.94
547,273.5,-79.03
548,274.0,-79.12
549,274.5,-79.21
550,275.0,-79.3
551,275.5,-79.39
552,276.0,-79.47
553,276.5,-79.56
554,277.0,-79.65
555,277.5,-79.73
556,278.0,-79.82
557,278.5,-79.9
558,279.0,-79.98
559,279.5,-80.06
560,280.0,-80.15
561,280.5,-80.23
562,281.0,-80.31
563,281.5,-80.39
564,282.0,-80.47
565,282.5,-80.54
566,283.0,-80.62
567,283.5,-80.7
568,284.0,-80.78
569,284.5,-80.85
570,285.0,-80.93
571,285.5,-81.0
572,286.0,-81.07
573,286.5,-81.15
574,287.0,-81.22
575,287.5,-81.29
576,288.0,-81.36
577,288.5,-81.43
578,289.0,-81.5
579,289.5,-81.57
580,290.0,-81.64
581,290.5,-81.71
582,291.0,-81.78
583,291.5,-81.84
584,292.0,-81.91
585,292.5,-81.98
586,293.0,-82.04
587,293.5,-82.11
588,294.0,-82.17
589,294.5,-82.23
590,295.0,-82.3
591,295.5,-82.36
592,296.0,-82.42
593,296.5,-82.48
594,297.0,-82.54
595,297.5,-82.6
596,298.0,-82.66
597,298.5,-82.72
598,299.0,-82.78
599,299.5,-82.84
600,300.0,-82.9
601,300.5,-82.95
602,301.0,-83.01
603,301.5,-83.07
604,302.0,-83.12
605,302.5,-83.18
606,303.0,-83.23
607,303.5,-83.28
608,304.0,-83.34
609,304.5,-83.39
610,305.0,-83.44
611,305.5,-83.5
612,306.0,-83.55
613,306.5,-83.6
614,307.0,-83.65
615,307.5,-83.7
616,308.0,-83.75
617,308.5,-83.8
618,309.0,-83.85
619,309.5,-83.9
620,310.0,-83.94
621,310.5,-83.99
622,311.0,-84.04
623,311.5,-84.08
624,312.0,-84.13
625,312.5,-84.18
626,313.0,-84.22
627,313.5,-84.27
628,314.0,-84.31
629,314.5,-84.35
630,315.0,-84.4
631,315.5,-84.44
632,316.0,-84.48
633,316.5,-84.53
634,317.0,-84.57
635,317.5,-84.61
636,318.0,-84.65
637,318.5,-84.69
638,319.0,-84.73
639,319.5,-84.77
640,320.0,-84.81
641,320.5,-84.85
642,321.0,-84.89
643,321.5,-84.93
644,322.0,-84.97
645,322.5,-85.0
646,323.0,-85.04
647,323.5,-85.08
648,324.0,-85.11
649,324.5,-85.15
650,325.0,-85.19
651,325.5,-85.22
652,326.0,-85.26
653,326.5,-85.29
654,327.0,-85.33
655,327.5,-85.36
656,328.0,-85.39
657,328.5,-85.43
658,329.0,-85.46
659,329.5,-85.49
660,330.0,-85.53
661,330.5,-85.56
662,331.0,-85.59
663,331.5,-85.62
664,332.0,-85.65
665,332.5,-85.68
666,333.0,-85.71
667,333.5,-85.74
668,334.0,-85.77
669,334.5,-85.8
670,335.0,-85.83
671,335.5,-85.86
672,336.0,-85.89
673,336.5,-85.92
674,337.0,-85.95
675,337.5,-85.98
676,338.0,-86.0
677,338.5,-86.03
678,339.0,-86.06
679,339.5,-86.09
680,340.0,-86.11
681,340.5,-86.14
682,341.0,-86.16
683,341.5,-86.19
684,342.0,-86.22
685,342.5,-86.24
686,343.0,-86.27
687,343.5,-86.29
688,344.0,-86.32
689,344.5,-86.34
690,345.0,-86.36
691,345.5,-86.39
692,346.0,-86.41
693,346.5,-86.43
694,347.0,-86.46
695,347.5,-86.48
696,348.0,-86.5
697,348.5,-86.52
698,349.0,-86.55
699,349.5,-86.57
700,350.0,-86.59
