"# Depth/um	Stress/MPa	Orihara Stress Fit/Mpa"
"0.00	854.32	386.08"
"0.50	799.39	383.25"
"1.00	745.14	380.41"
"1.50	692.23	377.58"
"2.00	641.27	374.75"
"2.50	592.79	371.92"
"3.00	547.24	369.10"
"3.50	504.98	366.27"
"4.00	466.24	363.46"
"4.50	431.16	360.64"
"5.00	399.79	357.83"
"5.50	372.06	355.02"
"6.00	347.84	352.22"
"6.50	326.94	349.43"
"7.00	309.09	346.64"
"7.50	294.02	343.86"
"8.00	281.44	341.09"
"8.50	271.02	338.33"
"9.00	262.47	335.57"
"9.50	255.51	332.82"
"10.00	249.88	330.08"
"10.50	245.34	327.35"
"11.00	241.68	324.63"
"11.50	238.72	321.93"
"12.00	236.32	319.23"
"12.50	234.35	316.54"
"13.00	232.71	313.87"
"13.50	231.31	311.21"
"14.00	230.09	308.56"
"14.50	229.01	305.92"
"15.00	228.03	303.30"
"15.50	227.11	300.69"
"16.00	226.25	298.10"
"16.50	225.41	295.52"
"17.00	224.60	292.95"
"17.50	223.81	290.41"
"18.00	223.03	287.87"
"18.50	222.25	285.35"
"19.00	221.48	282.85"
"19.50	220.71	280.37"
"20.00	219.94	277.90"
"20.50	219.18	275.45"
"21.00	218.41	273.01"
"21.50	217.65	270.60"
"22.00	216.89	268.20"
"22.50	216.12	265.82"
"23.00	215.36	263.45"
"23.50	214.60	261.11"
"24.00	213.84	258.79"
"24.50	213.08	256.48"
"25.00	212.32	254.19"
"25.50	211.56	251.93"
"26.00	210.80	249.68"
"26.50	210.04	247.45"
"27.00	209.28	245.24"
"27.50	208.52	243.06"
"28.00	207.76	240.89"
"28.50	207.00	238.74"
"29.00	206.24	236.61"
"29.50	205.49	234.50"
"30.00	204.73	232.42"
"30.50	203.98	230.35"
"31.00	203.22	228.31"
"31.50	202.46	226.28"
"32.00	201.71	224.28"
"32.50	200.96	222.30"
"33.00	200.20	220.34"
"33.50	199.45	218.39"
"34.00	198.70	216.47"
"34.50	197.94	214.58"
"35.00	197.19	212.70"
"35.50	196.44	210.84"
"36.00	195.69	209.00"
"36.50	194.94	207.19"
"37.00	194.19	205.39"
"37.50	193.44	203.62"
"38.00	192.69	201.87"
"38.50	191.95	200.13"
"39.00	191.20	198.42"
"39.50	190.45	196.73"
"40.00	189.71	195.06"
"40.50	188.96	193.41"
"41.00	188.22	191.78"
"41.50	187.47	190.16"
"42.00	186.73	188.57"
"42.50	185.99	187.00"
"43.00	185.24	185.45"
"43.50	184.50	183.92"
"44.00	183.76	182.41"
"44.50	183.02	180.91"
"45.00	182.28	179.44"
"45.50	181.54	177.99"
"46.00	180.80	176.55"
"46.50	180.07	175.13"
"47.00	179.33	173.73"
"47.50	178.59	172.35"
"48.00	177.86	170.99"
"48.50	177.12	169.65"
"49.00	176.39	168.32"
"49.50	175.65	167.01"
"50.00	174.92	165.72"
"50.50	174.19	164.45"
"51.00	173.46	163.19"
"51.50	172.73	161.95"
"52.00	172.00	160.72"
"52.50	171.27	159.52"
"53.00	170.54	158.32"
"53.50	169.81	157.15"
"54.00	169.09	155.99"
"54.50	168.36	154.85"
"55.00	167.64	153.72"
"55.50	166.91	152.60"
"56.00	166.19	151.50"
"56.50	165.47	150.42"
"57.00	164.74	149.35"
"57.50	164.02	148.30"
"58.00	163.30	147.25"
"58.50	162.58	146.23"
"59.00	161.87	145.21"
"59.50	161.15	144.21"
"60.00	160.43	143.22"
"60.50	159.71	142.25"
"61.00	159.00	141.29"
"61.50	158.29	140.34"
"62.00	157.57	139.40"
"62.50	156.86	138.47"
"63.00	156.15	137.56"
"63.50	155.44	136.66"
"64.00	154.73	135.77"
"64.50	154.02	134.89"
"65.00	153.31	134.02"
"65.50	152.60	133.16"
"66.00	151.90	132.32"
"66.50	151.19	131.48"
"67.00	150.49	130.65"
"67.50	149.79	129.83"
"68.00	149.08	129.03"
"68.50	148.38	128.23"
"69.00	147.68	127.44"
"69.50	146.98	126.66"
"70.00	146.28	125.89"
"70.50	145.59	125.13"
"71.00	144.89	124.38"
"71.50	144.19	123.63"
"72.00	143.50	122.90"
"72.50	142.81	122.17"
"73.00	142.11	121.45"
"73.50	141.42	120.73"
"74.00	140.73	120.03"
"74.50	140.04	119.33"
"75.00	139.36	118.64"
"75.50	138.67	117.95"
"76.00	137.98	117.27"
"76.50	137.30	116.60"
"77.00	136.61	115.94"
"77.50	135.93	115.28"
"78.00	135.25	114.63"
"78.50	134.57	113.98"
"79.00	133.89	113.34"
"79.50	133.21	112.71"
"80.00	132.53	112.08"
"80.50	131.85	111.45"
"81.00	131.18	110.84"
"81.50	130.50	110.22"
"82.00	129.83	109.61"
"82.50	129.16	109.01"
"83.00	128.49	108.41"
"83.50	127.82	107.82"
"84.00	127.15	107.23"
"84.50	126.48	106.64"
"85.00	125.81	106.06"
"85.50	125.15	105.49"
"86.00	124.48	104.92"
"86.50	123.82	104.35"
"87.00	123.16	103.78"
"87.50	122.50	103.22"
"88.00	121.84	102.67"
"88.50	121.18	102.11"
"89.00	120.52	101.56"
"89.50	119.86	101.02"
"90.00	119.21	100.47"
"90.50	118.56	99.93"
"91.00	117.90	99.39"
"91.50	117.25	98.86"
"92.00	116.60	98.33"
"92.50	115.95	97.80"
"93.00	115.30	97.28"
"93.50	114.66	96.75"
"94.00	114.01	96.23"
"94.50	113.37	95.72"
"95.00	112.72	95.20"
"95.50	112.08	94.69"
"96.00	111.44	94.18"
"96.50	110.80	93.67"
"97.00	110.16	93.17"
"97.50	109.53	92.67"
"98.00	108.89	92.17"
"98.50	108.26	91.67"
"99.00	107.62	91.17"
"99.50	106.99	90.68"
"100.00	106.36	90.18"
"100.50	105.73	89.69"
"101.00	105.10	89.20"
"101.50	104.48	88.72"
"102.00	103.85	88.23"
"102.50	103.23	87.75"
"103.00	102.60	87.27"
"103.50	101.98	86.79"
"104.00	101.36	86.31"
"104.50	100.74	85.83"
"105.00	100.12	85.36"
"105.50	99.51	84.88"
"106.00	98.89	84.41"
"106.50	98.28	83.94"
"107.00	97.67	83.47"
"107.50	97.06	83.01"
"108.00	96.45	82.54"
"108.50	95.84	82.07"
"109.00	95.23	81.61"
"109.50	94.62	81.15"
"110.00	94.02	80.69"
"110.50	93.42	80.23"
"111.00	92.81	79.77"
"111.50	92.21	79.31"
"112.00	91.61	78.86"
"112.50	91.02	78.40"
"113.00	90.42	77.95"
"113.50	89.82	77.50"
"114.00	89.23	77.04"
"114.50	88.64	76.59"
"115.00	88.05	76.15"
"115.50	87.46	75.70"
"116.00	86.87	75.25"
"116.50	86.28	74.80"
"117.00	85.69	74.36"
"117.50	85.11	73.92"
"118.00	84.53	73.47"
"118.50	83.95	73.03"
"119.00	83.37	72.59"
"119.50	82.79	72.15"
"120.00	82.21	71.71"
"120.50	81.63	71.28"
"121.00	81.06	70.84"
"121.50	80.48	70.40"
"122.00	79.91	69.97"
"122.50	79.34	69.54"
"123.00	78.77	69.10"
"123.50	78.21	68.67"
"124.00	77.64	68.24"
"124.50	77.07	67.81"
"125.00	76.51	67.38"
"125.50	75.95	66.95"
"126.00	75.39	66.52"
"126.50	74.83	66.10"
"127.00	74.27	65.67"
"127.50	73.71	65.25"
"128.00	73.16	64.82"
"128.50	72.61	64.40"
"129.00	72.05	63.98"
"129.50	71.50	63.56"
"130.00	70.95	63.14"
"130.50	70.41	62.72"
"131.00	69.86	62.30"
"131.50	69.32	61.88"
"132.00	68.77	61.47"
"132.50	68.23	61.05"
"133.00	67.69	60.64"
"133.50	67.15	60.22"
"134.00	66.61	59.81"
"134.50	66.08	59.40"
"135.00	65.54	58.99"
"135.50	65.01	58.58"
