,stress_x,stress_y
306,153.0,-57.08
307,153.5,-57.35
308,154.0,-57.62
309,154.5,-57.88
310,155.0,-58.15
311,155.5,-58.41
312,156.0,-58.67
313,156.5,-58.93
314,157.0,-59.18
315,157.5,-59.43
316,158.0,-59.68
317,158.5,-59.93
318,159.0,-60.18
319,159.5,-60.42
320,160.0,-60.66
321,160.5,-60.9
322,161.0,-61.14
323,161.5,-61.38
324,162.0,-61.61
325,162.5,-61.84
326,163.0,-62.07
327,163.5,-62.29
328,164.0,-62.52
329,164.5,-62.74
330,165.0,-62.96
331,165.5,-63.18
332,166.0,-63.4
333,166.5,-63.61
334,167.0,-63.82
335,167.5,-64.03
336,168.0,-64.24
337,168.5,-64.45
338,169.0,-64.65
339,169.5,-64.85
340,170.0,-65.05
341,170.5,-65.25
342,171.0,-65.45
343,171.5,-65.64
344,172.0,-65.84
345,172.5,-66.03
346,173.0,-66.22
347,173.5,-66.4
348,174.0,-66.59
349,174.5,-66.77
350,175.0,-66.95
351,175.5,-67.13
352,176.0,-67.31
353,176.5,-67.49
354,177.0,-67.66
355,177.5,-67.83
356,178.0,-68.0
357,178.5,-68.17
358,179.0,-68.34
359,179.5,-68.51
360,180.0,-68.67
361,180.5,-68.83
362,181.0,-68.99
363,181.5,-69.15
364,182.0,-69.31
365,182.5,-69.47
366,183.0,-69.62
367,183.5,-69.77
368,184.0,-69.92
369,184.5,-70.07
370,185.0,-70.22
371,185.5,-70.37
372,186.0,-70.51
373,186.5,-70.66
374,187.0,-70.8
375,187.5,-70.94
376,188.0,-71.08
377,188.5,-71.22
378,189.0,-71.35
379,189.5,-71.49
380,190.0,-71.62
381,190.5,-71.75
382,191.0,-71.88
383,191.5,-72.01
384,192.0,-72.14
385,192.5,-72.26
386,193.0,-72.39
387,193.5,-72.51
388,194.0,-72.63
389,194.5,-72.75
390,195.0,-72.87
391,195.5,-72.99
392,196.0,-73.11
393,196.5,-73.22
394,197.0,-73.34
395,197.5,-73.45
396,198.0,-73.56
397,198.5,-73.67
398,199.0,-73.78
399,199.5,-73.89
400,200.0,-73.99
401,200.5,-74.1
402,201.0,-74.2
403,201.5,-74.31
404,202.0,-74.41
405,202.5,-74.51
406,203.0,-74.61
407,203.5,-74.71
408,204.0,-74.8
409,204.5,-74.9
410,205.0,-74.99
411,205.5,-75.09
412,206.0,-75.18
413,206.5,-75.27
414,207.0,-75.36
415,207.5,-75.45
416,208.0,-75.54
417,208.5,-75.63
418,209.0,-75.71
419,209.5,-75.8
420,210.0,-75.88
421,210.5,-75.97
422,211.0,-76.05
423,211.5,-76.13
424,212.0,-76.21
425,212.5,-76.29
426,213.0,-76.37
427,213.5,-76.45
428,214.0,-76.52
429,214.5,-76.6
430,215.0,-76.67
431,215.5,-76.75
432,216.0,-76.82
433,216.5,-76.89
434,217.0,-76.96
435,217.5,-77.03
436,218.0,-77.1
437,218.5,-77.17
438,219.0,-77.24
439,219.5,-77.31
440,220.0,-77.37
441,220.5,-77.44
442,221.0,-77.5
443,221.5,-77.57
444,222.0,-77.63
445,222.5,-77.69
446,223.0,-77.75
447,223.5,-77.81
448,224.0,-77.87
449,224.5,-77.93
450,225.0,-77.99
451,225.5,-78.05
452,226.0,-78.1
453,226.5,-78.16
454,227.0,-78.22
455,227.5,-78.27
456,228.0,-78.32
457,228.5,-78.38
458,229.0,-78.43
459,229.5,-78.48
460,230.0,-78.53
461,230.5,-78.58
462,231.0,-78.63
463,231.5,-78.68
464,232.0,-78.73
465,232.5,-78.78
466,233.0,-78.83
467,233.5,-78.87
468,234.0,-78.92
469,234.5,-78.96
470,235.0,-79.01
471,235.5,-79.05
472,236.0,-79.1
473,236.5,-79.14
474,237.0,-79.18
475,237.5,-79.22
476,238.0,-79.26
477,238.5,-79.31
478,239.0,-79.35
479,239.5,-79.39
480,240.0,-79.42
481,240.5,-79.46
482,241.0,-79.5
483,241.5,-79.54
484,242.0,-79.58
485,242.5,-79.61
486,243.0,-79.65
487,243.5,-79.68
488,244.0,-79.72
489,244.5,-79.75
490,245.0,-79.79
491,245.5,-79.82
492,246.0,-79.85
493,246.5,-79.89
494,247.0,-79.92
495,247.5,-79.95
496,248.0,-79.98
497,248.5,-80.01
498,249.0,-80.04
499,249.5,-80.07
500,250.0,-80.1
