"# Depth/um	Stress/MPa	Orihara Stress Fit/Mpa"
"0.00	792.49	274.10"
"0.50	740.57	271.57"
"1.00	689.23	269.04"
"1.50	639.02	266.52"
"2.00	590.47	264.00"
"2.50	544.05	261.48"
"3.00	500.14	258.97"
"3.50	459.07	256.46"
"4.00	421.09	253.95"
"4.50	386.33	251.45"
"5.00	354.88	248.96"
"5.50	326.71	246.48"
"6.00	301.76	244.01"
"6.50	279.88	241.54"
"7.00	260.89	239.09"
"7.50	244.58	236.64"
"8.00	230.68	234.21"
"8.50	218.96	231.79"
"9.00	209.14	229.38"
"9.50	200.99	226.99"
"10.00	194.25	224.60"
"10.50	188.71	222.24"
"11.00	184.16	219.89"
"11.50	180.43	217.55"
"12.00	177.36	215.23"
"12.50	174.81	212.93"
"13.00	172.68	210.65"
"13.50	170.88	208.38"
"14.00	169.32	206.14"
"14.50	167.96	203.91"
"15.00	166.73	201.70"
"15.50	165.61	199.51"
"16.00	164.57	197.34"
"16.50	163.58	195.19"
"17.00	162.63	193.06"
"17.50	161.71	190.96"
"18.00	160.81	188.87"
"18.50	159.92	186.81"
"19.00	159.05	184.77"
"19.50	158.18	182.75"
"20.00	157.31	180.75"
"20.50	156.45	178.78"
"21.00	155.59	176.83"
"21.50	154.73	174.90"
"22.00	153.87	173.00"
"22.50	153.01	171.12"
"23.00	152.15	169.26"
"23.50	151.30	167.43"
"24.00	150.44	165.61"
"24.50	149.59	163.83"
"25.00	148.74	162.06"
"25.50	147.88	160.32"
"26.00	147.03	158.61"
"26.50	146.18	156.91"
"27.00	145.33	155.24"
"27.50	144.48	153.60"
"28.00	143.63	151.97"
"28.50	142.78	150.37"
"29.00	141.93	148.80"
"29.50	141.08	147.24"
"30.00	140.24	145.71"
"30.50	139.39	144.20"
"31.00	138.55	142.71"
"31.50	137.70	141.24"
"32.00	136.86	139.80"
"32.50	136.01	138.38"
"33.00	135.17	136.98"
"33.50	134.33	135.59"
"34.00	133.49	134.23"
"34.50	132.65	132.90"
"35.00	131.81	131.58"
"35.50	130.98	130.28"
"36.00	130.14	129.00"
"36.50	129.30	127.73"
"37.00	128.47	126.49"
"37.50	127.64	125.27"
"38.00	126.80	124.06"
"38.50	125.97	122.88"
"39.00	125.14	121.71"
"39.50	124.31	120.56"
"40.00	123.48	119.42"
"40.50	122.65	118.30"
"41.00	121.83	117.20"
"41.50	121.00	116.11"
"42.00	120.18	115.04"
"42.50	119.35	113.98"
"43.00	118.53	112.94"
"43.50	117.71	111.92"
"44.00	116.89	110.90"
"44.50	116.07	109.91"
"45.00	115.25	108.92"
"45.50	114.43	107.95"
"46.00	113.61	106.99"
"46.50	112.80	106.04"
"47.00	111.98	105.11"
"47.50	111.17	104.19"
"48.00	110.36	103.27"
"48.50	109.55	102.37"
"49.00	108.74	101.49"
"49.50	107.93	100.61"
"50.00	107.13	99.74"
"50.50	106.32	98.88"
"51.00	105.52	98.03"
"51.50	104.71	97.19"
"52.00	103.91	96.36"
"52.50	103.11	95.54"
"53.00	102.31	94.73"
"53.50	101.51	93.92"
"54.00	100.72	93.13"
"54.50	99.92	92.34"
"55.00	99.13	91.55"
"55.50	98.33	90.78"
"56.00	97.54	90.01"
"56.50	96.75	89.25"
"57.00	95.96	88.50"
"57.50	95.17	87.75"
"58.00	94.39	87.01"
"58.50	93.60	86.27"
"59.00	92.82	85.54"
"59.50	92.04	84.82"
"60.00	91.26	84.10"
"60.50	90.48	83.39"
"61.00	89.70	82.68"
"61.50	88.92	81.98"
"62.00	88.15	81.28"
"62.50	87.38	80.58"
"63.00	86.60	79.89"
"63.50	85.83	79.20"
"64.00	85.06	78.52"
"64.50	84.30	77.84"
"65.00	83.53	77.17"
"65.50	82.77	76.50"
"66.00	82.00	75.83"
"66.50	81.24	75.17"
"67.00	80.48	74.51"
"67.50	79.72	73.85"
"68.00	78.97	73.19"
"68.50	78.21	72.54"
"69.00	77.46	71.89"
"69.50	76.70	71.25"
"70.00	75.95	70.61"
"70.50	75.20	69.97"
"71.00	74.46	69.33"
"71.50	73.71	68.69"
"72.00	72.97	68.06"
"72.50	72.22	67.43"
"73.00	71.48	66.80"
"73.50	70.74	66.17"
"74.00	70.01	65.55"
"74.50	69.27	64.93"
"75.00	68.54	64.31"
"75.50	67.80	63.69"
"76.00	67.07	63.07"
"76.50	66.34	62.46"
"77.00	65.61	61.85"
"77.50	64.89	61.24"
"78.00	64.16	60.63"
"78.50	63.44	60.02"
"79.00	62.72	59.42"
"79.50	62.00	58.81"
"80.00	61.28	58.21"
"80.50	60.57	57.61"
"81.00	59.85	57.01"
"81.50	59.14	56.42"
"82.00	58.43	55.82"
"82.50	57.72	55.23"
"83.00	57.02	54.63"
"83.50	56.31	54.04"
"84.00	55.61	53.45"
"84.50	54.90	52.86"
"85.00	54.20	52.28"
"85.50	53.51	51.69"
"86.00	52.81	51.11"
"86.50	52.12	50.52"
"87.00	51.42	49.94"
"87.50	50.73	49.36"
"88.00	50.04	48.78"
"88.50	49.36	48.21"
"89.00	48.67	47.63"
"89.50	47.99	47.06"
"90.00	47.31	46.48"
"90.50	46.63	45.91"
"91.00	45.95	45.34"
"91.50	45.27	44.77"
"92.00	44.60	44.20"
"92.50	43.93	43.64"
"93.00	43.25	43.07"
"93.50	42.59	42.51"
"94.00	41.92	41.95"
"94.50	41.25	41.38"
"95.00	40.59	40.82"
"95.50	39.93	40.26"
"96.00	39.27	39.71"
"96.50	38.61	39.15"
"97.00	37.96	38.60"
"97.50	37.31	38.04"
"98.00	36.65	37.49"
"98.50	36.00	36.94"
"99.00	35.36	36.39"
"99.50	34.71	35.84"
"100.00	34.07	35.29"
"100.50	33.43	34.75"
"101.00	32.79	34.20"
"101.50	32.15	33.66"
"102.00	31.51	33.12"
"102.50	30.88	32.58"
"103.00	30.25	32.04"
"103.50	29.62	31.50"
"104.00	28.99	30.96"
"104.50	28.36	30.43"
"105.00	27.74	29.89"
"105.50	27.12	29.36"
"106.00	26.50	28.83"
"106.50	25.88	28.30"
"107.00	25.26	27.77"
"107.50	24.65	27.24"
"108.00	24.03	26.71"
"108.50	23.42	26.19"
"109.00	22.82	25.66"
"109.50	22.21	25.14"
"110.00	21.61	24.62"
"110.50	21.00	24.10"
"111.00	20.40	23.58"
"111.50	19.81	23.06"
"112.00	19.21	22.55"
"112.50	18.61	22.03"
"113.00	18.02	21.52"
"113.50	17.43	21.01"
"114.00	16.84	20.50"
"114.50	16.26	19.99"
"115.00	15.67	19.48"
"115.50	15.09	18.98"
"116.00	14.51	18.47"
"116.50	13.93	17.97"
"117.00	13.36	17.46"
"117.50	12.78	16.96"
"118.00	12.21	16.46"
"118.50	11.64	15.97"
"119.00	11.07	15.47"
"119.50	10.51	14.97"
"120.00	9.95	14.48"
"120.50	9.38	13.99"
"121.00	8.82	13.49"
"121.50	8.27	13.00"
"122.00	7.71	12.52"
"122.50	7.16	12.03"
"123.00	6.61	11.54"
"123.50	6.06	11.06"
"124.00	5.51	10.57"
"124.50	4.96	10.09"
"125.00	4.42	9.61"
"125.50	3.88	9.13"
"126.00	3.34	8.66"
"126.50	2.80	8.18"
"127.00	2.27	7.70"
"127.50	1.73	7.23"
"128.00	1.20	6.76"
"128.50	0.67	6.29"
"129.00	0.15	5.82"
"129.50	-0.38	5.35"
"130.00	-0.90	4.89"
"130.50	-1.42	4.42"
"131.00	-1.94	3.96"
"131.50	-2.46	3.49"
"132.00	-2.97	3.03"
"132.50	-3.48	2.57"
"133.00	-3.99	2.12"
"133.50	-4.50	1.66"
"134.00	-5.01	1.20"
"134.50	-5.51	0.75"
"135.00	-6.02	0.30"
"135.50	-6.52	-0.15"
"136.00	-7.01	-0.60"
"136.50	-7.51	-1.05"
"137.00	-8.00	-1.50"
"137.50	-8.50	-1.94"
"138.00	-8.99	-2.39"
"138.50	-9.47	-2.83"
"139.00	-9.96	-3.27"
"139.50	-10.44	-3.71"
"140.00	-10.93	-4.15"
"140.50	-11.41	-4.59"
"141.00	-11.88	-5.02"
"141.50	-12.36	-5.45"
"142.00	-12.83	-5.89"
"142.50	-13.31	-6.32"
"143.00	-13.77	-6.75"
"143.50	-14.24	-7.18"
"144.00	-14.71	-7.60"
"144.50	-15.17	-8.03"
"145.00	-15.63	-8.45"
"145.50	-16.09	-8.88"
"146.00	-16.55	-9.30"
"146.50	-17.01	-9.72"
"147.00	-17.46	-10.14"
"147.50	-17.91	-10.55"
"148.00	-18.36	-10.97"
"148.50	-18.81	-11.38"
"149.00	-19.25	-11.79"
"149.50	-19.70	-12.21"
"150.00	-20.14	-12.62"
"150.50	-20.58	-13.02"
"151.00	-21.02	-13.43"
"151.50	-21.45	-13.84"
"152.00	-21.89	-14.24"
"152.50	-22.32	-14.64"
"153.00	-22.75	-15.04"
"153.50	-23.17	-15.44"
"154.00	-23.60	-15.84"
"154.50	-24.02	-16.24"
"155.00	-24.44	-16.64"
"155.50	-24.86	-17.03"
"156.00	-25.28	-17.42"
"156.50	-25.70	-17.81"
"157.00	-26.11	-18.20"
"157.50	-26.52	-18.59"
