"# Depth/um	Stress/MPa	Orihara Stress Fit/Mpa"
"0.00	808.34	218.23"
"0.50	759.93	216.19"
"1.00	711.93	214.15"
"1.50	664.72	212.11"
"2.00	618.67	210.07"
"2.50	574.13	208.04"
"3.00	531.41	206.01"
"3.50	490.77	203.98"
"4.00	452.42	201.96"
"4.50	416.53	199.94"
"5.00	383.22	197.93"
"5.50	352.56	195.92"
"6.00	324.55	193.92"
"6.50	299.17	191.92"
"7.00	276.35	189.94"
"7.50	256.00	187.96"
"8.00	237.99	185.99"
"8.50	222.15	184.03"
"9.00	208.33	182.08"
"9.50	196.35	180.14"
"10.00	186.04	178.20"
"10.50	177.20	176.28"
"11.00	169.67	174.38"
"11.50	163.29	172.48"
"12.00	157.89	170.60"
"12.50	153.34	168.72"
"13.00	149.50	166.87"
"13.50	146.26	165.02"
"14.00	143.52	163.19"
"14.50	141.18	161.37"
"15.00	139.18	159.57"
"15.50	137.44	157.78"
"16.00	135.92	156.01"
"16.50	134.56	154.25"
"17.00	133.34	152.51"
"17.50	132.22	150.79"
"18.00	131.19	149.08"
"18.50	130.21	147.39"
"19.00	129.27	145.71"
"19.50	128.37	144.05"
"20.00	127.50	142.41"
"20.50	126.65	140.78"
"21.00	125.81	139.17"
"21.50	124.98	137.58"
"22.00	124.15	136.01"
"22.50	123.34	134.45"
"23.00	122.52	132.91"
"23.50	121.71	131.39"
"24.00	120.90	129.89"
"24.50	120.10	128.41"
"25.00	119.29	126.94"
"25.50	118.49	125.49"
"26.00	117.69	124.06"
"26.50	116.88	122.64"
"27.00	116.08	121.24"
"27.50	115.28	119.87"
"28.00	114.48	118.50"
"28.50	113.69	117.16"
"29.00	112.89	115.83"
"29.50	112.09	114.52"
"30.00	111.30	113.23"
"30.50	110.50	111.95"
"31.00	109.71	110.69"
"31.50	108.91	109.45"
"32.00	108.12	108.22"
"32.50	107.33	107.01"
"33.00	106.54	105.82"
"33.50	105.75	104.64"
"34.00	104.96	103.48"
"34.50	104.17	102.33"
"35.00	103.38	101.20"
"35.50	102.60	100.08"
"36.00	101.81	98.98"
"36.50	101.03	97.90"
"37.00	100.24	96.82"
"37.50	99.46	95.76"
"38.00	98.68	94.72"
"38.50	97.90	93.69"
"39.00	97.12	92.67"
"39.50	96.34	91.67"
"40.00	95.56	90.68"
"40.50	94.79	89.70"
"41.00	94.01	88.73"
"41.50	93.24	87.78"
"42.00	92.46	86.84"
"42.50	91.69	85.91"
"43.00	90.92	84.99"
"43.50	90.15	84.08"
"44.00	89.38	83.19"
"44.50	88.61	82.30"
