"# Depth/um	Stress/MPa	Orihara Stress Fit/Mpa"
"0.00	781.16	211.87"
"0.50	729.04	210.05"
"1.00	677.47	208.23"
"1.50	626.98	206.41"
"2.00	578.07	204.59"
"2.50	531.18	202.77"
"3.00	486.71	200.96"
"3.50	444.97	199.14"
"4.00	406.19	197.33"
"4.50	370.54	195.53"
"5.00	338.10	193.72"
"5.50	308.88	191.92"
"6.00	282.83	190.12"
"6.50	259.83	188.33"
"7.00	239.72	186.54"
"7.50	222.29	184.76"
"8.00	207.33	182.98"
"8.50	194.60	181.21"
"9.00	183.85	179.45"
"9.50	174.83	177.69"
"10.00	167.31	175.93"
"10.50	161.07	174.19"
"11.00	155.91	172.45"
"11.50	151.65	170.72"
"12.00	148.13	168.99"
"12.50	145.20	167.28"
"13.00	142.74	165.57"
"13.50	140.67	163.87"
"14.00	138.89	162.18"
"14.50	137.33	160.50"
"15.00	135.95	158.83"
"15.50	134.70	157.16"
"16.00	133.55	155.51"
"16.50	132.47	153.87"
"17.00	131.44	152.24"
"17.50	130.45	150.61"
"18.00	129.49	149.00"
"18.50	128.54	147.40"
"19.00	127.61	145.81"
"19.50	126.69	144.24"
"20.00	125.78	142.67"
"20.50	124.87	141.11"
"21.00	123.96	139.57"
"21.50	123.05	138.04"
"22.00	122.15	136.52"
"22.50	121.25	135.01"
"23.00	120.35	133.51"
"23.50	119.46	132.03"
"24.00	118.56	130.56"
"24.50	117.66	129.10"
"25.00	116.77	127.66"
"25.50	115.87	126.22"
"26.00	114.98	124.80"
"26.50	114.09	123.39"
"27.00	113.20	122.00"
"27.50	112.31	120.61"
"28.00	111.42	119.24"
"28.50	110.53	117.89"
"29.00	109.65	116.54"
"29.50	108.76	115.21"
"30.00	107.88	113.89"
"30.50	106.99	112.59"
"31.00	106.11	111.29"
"31.50	105.23	110.01"
"32.00	104.35	108.74"
"32.50	103.47	107.49"
"33.00	102.60	106.25"
"33.50	101.72	105.02"
"34.00	100.85	103.80"
"34.50	99.97	102.60"
"35.00	99.10	101.40"
"35.50	98.23	100.23"
"36.00	97.36	99.06"
"36.50	96.49	97.90"
"37.00	95.63	96.76"
"37.50	94.76	95.63"
"38.00	93.90	94.51"
"38.50	93.03	93.40"
"39.00	92.17	92.31"
"39.50	91.31	91.22"
"40.00	90.45	90.15"
"40.50	89.60	89.09"
"41.00	88.74	88.04"
"41.50	87.89	87.00"
"42.00	87.04	85.97"
"42.50	86.19	84.96"
"43.00	85.34	83.95"
"43.50	84.49	82.95"
"44.00	83.64	81.97"
"44.50	82.80	80.99"
"45.00	81.96	80.03"
"45.50	81.11	79.08"
"46.00	80.28	78.13"
"46.50	79.44	77.20"
"47.00	78.60	76.27"
"47.50	77.77	75.36"
"48.00	76.93	74.45"
"48.50	76.10	73.55"
"49.00	75.27	72.66"
"49.50	74.45	71.78"
"50.00	73.62	70.91"
"50.50	72.80	70.05"
"51.00	71.97	69.20"
"51.50	71.15	68.35"
"52.00	70.34	67.51"
"52.50	69.52	66.68"
"53.00	68.70	65.86"
"53.50	67.89	65.05"
"54.00	67.08	64.24"
"54.50	66.27	63.44"
"55.00	65.46	62.65"
"55.50	64.66	61.86"
"56.00	63.85	61.08"
"56.50	63.05	60.31"
"57.00	62.25	59.55"
"57.50	61.45	58.79"
"58.00	60.66	58.04"
"58.50	59.86	57.29"
"59.00	59.07	56.55"
"59.50	58.28	55.82"
"60.00	57.49	55.09"
"60.50	56.71	54.37"
"61.00	55.93	53.65"
"61.50	55.14	52.94"
"62.00	54.36	52.23"
"62.50	53.59	51.53"
"63.00	52.81	50.84"
"63.50	52.04	50.15"
"64.00	51.27	49.46"
"64.50	50.50	48.78"
"65.00	49.73	48.10"
"65.50	48.97	47.43"
"66.00	48.20	46.76"
"66.50	47.44	46.10"
"67.00	46.68	45.44"
"67.50	45.93	44.79"
"68.00	45.17	44.14"
"68.50	44.42	43.49"
"69.00	43.67	42.85"
"69.50	42.92	42.21"
"70.00	42.18	41.57"
"70.50	41.44	40.94"
"71.00	40.70	40.31"
"71.50	39.96	39.69"
"72.00	39.22	39.06"
"72.50	38.49	38.45"
"73.00	37.76	37.83"
"73.50	37.03	37.22"
"74.00	36.30	36.61"
"74.50	35.57	36.00"
"75.00	34.85	35.40"
"75.50	34.13	34.80"
"76.00	33.41	34.20"
"76.50	32.70	33.61"
"77.00	31.99	33.02"
"77.50	31.28	32.43"
"78.00	30.57	31.84"
"78.50	29.86	31.26"
"79.00	29.16	30.67"
"79.50	28.46	30.10"
"80.00	27.76	29.52"
"80.50	27.06	28.94"
"81.00	26.37	28.37"
"81.50	25.68	27.80"
"82.00	24.99	27.24"
"82.50	24.30	26.67"
"83.00	23.62	26.11"
"83.50	22.93	25.55"
"84.00	22.26	24.99"
"84.50	21.58	24.43"
"85.00	20.90	23.87"
"85.50	20.23	23.32"
"86.00	19.56	22.77"
"86.50	18.90	22.22"
"87.00	18.23	21.68"
"87.50	17.57	21.13"
"88.00	16.91	20.59"
"88.50	16.25	20.05"
"89.00	15.60	19.51"
"89.50	14.95	18.97"
"90.00	14.30	18.43"
"90.50	13.65	17.90"
"91.00	13.00	17.37"
"91.50	12.36	16.83"
"92.00	11.72	16.31"
"92.50	11.09	15.78"
"93.00	10.45	15.25"
"93.50	9.82	14.73"
"94.00	9.19	14.21"
"94.50	8.56	13.69"
"95.00	7.94	13.17"
"95.50	7.32	12.65"
"96.00	6.70	12.13"
"96.50	6.08	11.62"
"97.00	5.47	11.11"
"97.50	4.85	10.60"
"98.00	4.25	10.09"
"98.50	3.64	9.58"
"99.00	3.03	9.07"
"99.50	2.43	8.57"
"100.00	1.83	8.07"
"100.50	1.24	7.56"
"101.00	0.64	7.06"
"101.50	0.05	6.57"
"102.00	-0.53	6.07"
"102.50	-1.12	5.57"
"103.00	-1.70	5.08"
"103.50	-2.28	4.59"
"104.00	-2.86	4.10"
"104.50	-3.44	3.61"
"105.00	-4.01	3.12"
"105.50	-4.58	2.64"
"106.00	-5.15	2.15"
"106.50	-5.71	1.67"
"107.00	-6.28	1.19"
"107.50	-6.84	0.71"
"108.00	-7.40	0.23"
"108.50	-7.95	-0.25"
"109.00	-8.50	-0.73"
"109.50	-9.05	-1.20"
"110.00	-9.60	-1.67"
"110.50	-10.14	-2.14"
"111.00	-10.69	-2.61"
"111.50	-11.23	-3.08"
"112.00	-11.76	-3.55"
"112.50	-12.30	-4.01"
"113.00	-12.83	-4.48"
"113.50	-13.36	-4.94"
"114.00	-13.88	-5.40"
"114.50	-14.41	-5.86"
"115.00	-14.93	-6.31"
"115.50	-15.45	-6.77"
"116.00	-15.96	-7.22"
"116.50	-16.48	-7.68"
"117.00	-16.99	-8.13"
"117.50	-17.50	-8.58"
"118.00	-18.00	-9.03"
"118.50	-18.51	-9.47"
"119.00	-19.01	-9.92"
"119.50	-19.51	-10.36"
"120.00	-20.00	-10.81"
"120.50	-20.50	-11.25"
"121.00	-20.99	-11.69"
"121.50	-21.47	-12.12"
"122.00	-21.96	-12.56"
"122.50	-22.44	-12.99"
"123.00	-22.92	-13.43"
"123.50	-23.40	-13.86"
"124.00	-23.88	-14.29"
"124.50	-24.35	-14.72"
"125.00	-24.82	-15.15"
"125.50	-25.29	-15.57"
"126.00	-25.75	-16.00"
"126.50	-26.22	-16.42"
"127.00	-26.68	-16.84"
"127.50	-27.13	-17.26"
"128.00	-27.59	-17.68"
"128.50	-28.04	-18.09"
"129.00	-28.49	-18.51"
"129.50	-28.94	-18.92"
"130.00	-29.39	-19.33"
"130.50	-29.83	-19.74"
"131.00	-30.27	-20.15"
