,stress_x,stress_y
0,0.0,781.16
1,0.5,729.04
2,1.0,677.47
3,1.5,626.98
4,2.0,578.07
5,2.5,531.18
6,3.0,486.71
7,3.5,444.97
8,4.0,406.19
9,4.5,370.54
10,5.0,338.1
11,5.5,308.88
12,6.0,282.83
13,6.5,259.83
14,7.0,239.72
15,7.5,222.29
16,8.0,207.33
17,8.5,194.6
18,9.0,183.85
19,9.5,174.83
20,10.0,167.31
21,10.5,161.07
22,11.0,155.91
23,11.5,151.65
24,12.0,148.13
25,12.5,145.2
26,13.0,142.74
27,13.5,140.67
28,14.0,138.89
29,14.5,137.33
30,15.0,135.95
31,15.5,134.7
32,16.0,133.55
33,16.5,132.47
34,17.0,131.44
35,17.5,130.45
36,18.0,129.49
37,18.5,128.54
38,19.0,127.61
39,19.5,126.69
40,20.0,125.78
41,20.5,124.87
42,21.0,123.96
43,21.5,123.05
44,22.0,122.15
45,22.5,121.25
46,23.0,120.35
47,23.5,119.46
48,24.0,118.56
49,24.5,117.66
50,25.0,116.77
51,25.5,115.87
52,26.0,114.98
53,26.5,114.09
54,27.0,113.2
55,27.5,112.31
56,28.0,111.42
57,28.5,110.53
58,29.0,109.65
59,29.5,108.76
60,30.0,107.88
61,30.5,106.99
62,31.0,106.11
63,31.5,105.23
64,32.0,104.35
65,32.5,103.47
66,33.0,102.6
67,33.5,101.72
68,34.0,100.85
69,34.5,99.97
70,35.0,99.1
71,35.5,98.23
72,36.0,97.36
73,36.5,96.49
74,37.0,95.63
75,37.5,94.76
76,38.0,93.9
77,38.5,93.03
78,39.0,92.17
79,39.5,91.31
80,40.0,90.45
81,40.5,89.6
82,41.0,88.74
83,41.5,87.89
84,42.0,87.04
85,42.5,86.19
86,43.0,85.34
87,43.5,84.49
88,44.0,83.64
89,44.5,82.8
90,45.0,81.96
91,45.5,81.11
92,46.0,80.28
93,46.5,79.44
94,47.0,78.6
95,47.5,77.77
96,48.0,76.93
97,48.5,76.1
98,49.0,75.27
99,49.5,74.45
100,50.0,73.62
101,50.5,72.8
102,51.0,71.97
103,51.5,71.15
104,52.0,70.34
105,52.5,69.52
106,53.0,68.7
107,53.5,67.89
108,54.0,67.08
109,54.5,66.27
110,55.0,65.46
111,55.5,64.66
112,56.0,63.85
113,56.5,63.05
114,57.0,62.25
115,57.5,61.45
116,58.0,60.66
117,58.5,59.86
118,59.0,59.07
119,59.5,58.28
120,60.0,57.49
121,60.5,56.71
122,61.0,55.93
123,61.5,55.14
124,62.0,54.36
125,62.5,53.59
126,63.0,52.81
127,63.5,52.04
128,64.0,51.27
129,64.5,50.5
130,65.0,49.73
131,65.5,48.97
132,66.0,48.2
133,66.5,47.44
134,67.0,46.68
135,67.5,45.93
136,68.0,45.17
137,68.5,44.42
138,69.0,43.67
139,69.5,42.92
140,70.0,42.18
141,70.5,41.44
142,71.0,40.7
143,71.5,39.96
144,72.0,39.22
145,72.5,38.49
146,73.0,37.76
147,73.5,37.03
148,74.0,36.3
149,74.5,35.57
150,75.0,34.85
151,75.5,34.13
152,76.0,33.41
153,76.5,32.7
154,77.0,31.99
155,77.5,31.28
156,78.0,30.57
157,78.5,29.86
158,79.0,29.16
159,79.5,28.46
160,80.0,27.76
161,80.5,27.06
162,81.0,26.37
163,81.5,25.68
164,82.0,24.99
165,82.5,24.3
166,83.0,23.62
167,83.5,22.93
168,84.0,22.26
169,84.5,21.58
170,85.0,20.9
171,85.5,20.23
172,86.0,19.56
173,86.5,18.9
174,87.0,18.23
175,87.5,17.57
176,88.0,16.91
177,88.5,16.25
178,89.0,15.6
179,89.5,14.95
180,90.0,14.3
181,90.5,13.65
182,91.0,13.0
183,91.5,12.36
184,92.0,11.72
185,92.5,11.09
186,93.0,10.45
187,93.5,9.82
188,94.0,9.19
189,94.5,8.56
190,95.0,7.94
191,95.5,7.32
192,96.0,6.7
193,96.5,6.08
194,97.0,5.47
195,97.5,4.85
196,98.0,4.25
197,98.5,3.64
198,99.0,3.03
199,99.5,2.43
200,100.0,1.83
201,100.5,1.24
202,101.0,0.64
203,101.5,0.05
204,102.0,-0.53
205,102.5,-1.12
206,103.0,-1.7
207,103.5,-2.28
208,104.0,-2.86
209,104.5,-3.44
210,105.0,-4.01
211,105.5,-4.58
212,106.0,-5.15
213,106.5,-5.71
214,107.0,-6.28
215,107.5,-6.84
216,108.0,-7.4
217,108.5,-7.95
218,109.0,-8.5
219,109.5,-9.05
220,110.0,-9.6
221,110.5,-10.14
222,111.0,-10.69
223,111.5,-11.23
224,112.0,-11.76
225,112.5,-12.3
226,113.0,-12.83
227,113.5,-13.36
228,114.0,-13.88
229,114.5,-14.41
230,115.0,-14.93
231,115.5,-15.45
232,116.0,-15.96
233,116.5,-16.48
234,117.0,-16.99
235,117.5,-17.5
236,118.0,-18.0
237,118.5,-18.51
238,119.0,-19.01
239,119.5,-19.51
240,120.0,-20.0
241,120.5,-20.5
242,121.0,-20.99
243,121.5,-21.47
244,122.0,-21.96
245,122.5,-22.44
246,123.0,-22.92
247,123.5,-23.4
248,124.0,-23.88
249,124.5,-24.35
250,125.0,-24.82
251,125.5,-25.29
252,126.0,-25.75
253,126.5,-26.22
254,127.0,-26.68
255,127.5,-27.13
256,128.0,-27.59
257,128.5,-28.04
258,129.0,-28.49
259,129.5,-28.94
260,130.0,-29.39
261,130.5,-29.83
262,131.0,-30.27
263,131.5,-30.71
264,132.0,-31.14
265,132.5,-31.58
266,133.0,-32.01
267,133.5,-32.43
268,134.0,-32.86
269,134.5,-33.28
270,135.0,-33.7
271,135.5,-34.12
272,136.0,-34.54
273,136.5,-34.95
274,137.0,-35.36
275,137.5,-35.77
276,138.0,-36.18
277,138.5,-36.58
278,139.0,-36.98
279,139.5,-37.38
280,140.0,-37.78
281,140.5,-38.17
282,141.0,-38.56
283,141.5,-38.95
284,142.0,-39.34
285,142.5,-39.72
286,143.0,-40.11
287,143.5,-40.49
288,144.0,-40.86
